Role,Dialogue
피해자,네 네 네
사기범,예 뭐 궁금하신 거 물어 보세요
피해자,"그 뭐냐 원래 다른데 알아 보니까, 그 기업용 그 계좌를 쓴다는데, 왜 저희는 개인 계좌를 쓰는거죠?"
사기범,"그거를 다 소화를 할 수가 없어요. 우리도 그걸 안 쓰는 건 아니에요. 쓰고 있어요. 근데 그거는 이제 그거를 처리하시는 분들이 따로 있고, 저희는 이제 수익 극대화를 시킬려고 거기에 추가적으로 더 한다고 보시면 돼요."
피해자,아 추가적으로요
사기범,예 기존에 하... 저희가 이제 좀 이제 규모가 되다 보니까 금액적으로
피해자,네
사기범,그걸 지금 더 많이 소화를 할려고 일단 그거는 말씀하신 대로 기업 그걸 이용해서 저희도 다 돌려요.
피해자,네
사기범,네 그거는 돌리는 거는 돌리는 거고 그 외적으로 저희가 더 돌리는 거예요
피해자,외적으로요?
사기범,예 무슨 얘긴지 아시죠.
피해자,네 그러면 저희가 저희 계좌로 돌리게 되면 그게 법적으로는 돈세탁이 되는거잖아요
사기범,"어 쉽게 얘기하면은 돈세탁이라기보다는 예, 재정 거래죠. 예 맞아요. 근데요?"
피해자,네 이게 나중에 그 법적으로는 저희가 안 걸리는 건가요?
사기범,문제 없어요 이게 제가 말씀 드렸지만 이쪽에서 코인이 넘어와서 전자지갑으로 넘어오잖아요
피해자,네
사기범,그 상태로 이게 뭐 한국 지갑으로 넘기시던가 일본 지갑으로 넘기시던가 이런 식으로 넘기시는 거 아니에요. 그 상태에서 현금화를 시키는 거기 때문에 이거는 솔직히 얘기해서 뭐 예를 들면 (삐-) 씨가 어느 쪽에서 뭐 이렇게 환치기를 했다는 무슨 증거가 있는 게 아니잖아요
피해자,네
사기범,예를 들자면요
피해자,네
사기범,그거는 이제 환전상이랑 어떤 거래를 했다라는 그게 있어야되는 거고
피해자,네
사기범,"그래야만 그게 이제 정상적으로 예를 들어서 (삐-) 씨가 환전상 계좌에다 얼마를 입금하고, 그 사람한테 현금으로 이제 뭐 얼마를 받았다던가 이런 내역들이 있어야 될 거 아니에요"
피해자,그쵸
사기범,"예, 그 내역이 존재하지 않는 거예요. 그러니까 이거는 정상적인 거래지. 그 환치기가 아니에요"
피해자,"음... 환치기는 아니고. 그러면 저희, 제가 가서 무조건 제 계좌를 써야되는거에요?"
사기범,"그렇죠. 저희는 뭐 본인 명의 계좌 아닌 이상은 예 뭐 가끔 이렇게 얘기 하신 분들이 있어요. 뭐 어머님 꺼나 뭐 친지 꺼를 하면 안되냐고. 저희는 그쪽에다가 돈을 어쨌든 담아 드리는 거잖아요. 저희 회사의 거래 자금을 담아 드리는 건데, 예를 들어서 (삐-) 씨가 뭐 이제 친구, 친한 친구 꺼다 이렇게 들고 왔어요."
피해자,네
사기범,"근데 사실은 뭐 믿을 수 있다고 얘기는 하지만 뭐 돈이란 건 또 모르는 거잖아요. 예를 들어서 저희가 비트코인 3개 사세요. 그러고서는 이제 한 4000만원 정도 보내드렸는데, 그거를 그 순간에 사람이 어떻게 돼서 또 그렇게 사고가 생길 수도 있는 부분이고, 그런 부분이 생기게 되면은, 어 당사자도 곤란하고 회사도 곤란한 거예요. 사실 뭐 그거를 (삐-) 한테 책임을 묻기도 좀 애매한 부분이고."
피해자,네 맞아요
사기범,일단은 피해를 끼친 입장 이니까 더 이상 근무를 하기도 애매한 상황이고
피해자,네 네
사기범,"저희는 피해 금액을 복구를 해야 되니까 또 근무는 시켜야 되는 거에요. 그 계좌를 또 사용할 순 없고 뭐 이런 복잡한 상황이 돼버리는 거죠. 그렇기 때문에 저희는 그런 부분들을 아예 그 때 제가 설명 처음에 그 설명 드렸을 때 설명 드렸는데, 저희는 근무를 현재 하고 있으신 본인의 계좌만 사용을 해요"
피해자,아 그러면 그게 저희가 그렇게 돈을 받아서 산 다음 또 현금화를 하잖아요. 그게 불법적인 것도 아니고 합법적인 것도 아니네요.
사기범,"약간 편법적인 거죠. 편법적인 부분이 있는 건데, 법적으로 어떤 제재를 할 수 없는 그런 거예요."
피해자,음
사기범,네 이거는 명백히 말씀 드리지만 불법 아닙니다. 정상적인 화폐 거래에요
피해자,예 그리고 또 그 아까 비자 할려고 했는데 안 돼가지고.
사기범,네 네 어차피 비자는 오전 안에 신청 들어가야 돼요 그 날 들어갈려면.
피해자,어 그래서 오늘 해결할려고 했는데 아 오전에만 된다고요?
사기범,아마 10시 11시까지는 가셔야만 아마 그 날 신청이 들어갈 수 있을 거에요.
피해자,음 그럼 마중은 누가 나와있는 거에요?
사기범,마중은 저희 쪽 직원이 나갈 거예요
피해자,아 그 저 저를 데리고 이제 사무실쪽으로 들어가는 거고요?
사기범,예 예 예. 어찌 됐든 뭐 여기 오셨는데 아무도 없는데 혼자서 택시타고 올 순 없잖아요 중국말도 못 하시는데.
피해자,예 예
사기범,한국말 가능하신 직원 분이 나가실 거예요 끌고 갈 겁니다.
피해자,예 일단 알겠습니다. 그러면 제가 내일 다시 오전 중으로 연락을 카톡을 드릴게요
사기범,뭐 어떤 거 궁금하신 건데요
피해자,비자가 30일짜리가 있고 90일짜리가 있더라고요.
사기범,"음 상관 없어요 아무거나 하셔도 돼요. 여행용 단순 제일 싼 걸로 해달라고 하시고요. 어차피 이쪽에 들어오시게 되면은 제가 그 법인 회사가 있어서, 그쪽으로 해서 저희가 취업 비자 발급해 드릴 거에요. 근무하시는 동안에 그렇게 되면은 이쪽에서 뭐, 그 다음부터는 취업 비자 발급 받으시게 되면 일년 동안 아무 때나 왔다갔다하실 수 있는 비자가 생기시는 거기 때문에 ."
피해자,예
사기범,일단은 뭐 그냥 제일 싼 걸로 받으시면 돼요
피해자,음 예 알겠습니다 또 모르는거 있음 연락 드릴게요.
사기범,근데 일단 문자 주시고 아 제가 요즘 외부 업무가 많아 갖고 현지 직원도 지금 저희가 뽑고 있는 상황이라서.
피해자,네 네.
사기범,제가 현지 직원 인터뷰를 좀 왔다 갔다 하고 있어서
피해자,아~
사기범,일단 문자 주시면 최대한 빨리 전화드릴 수 있도록 해볼게요
피해자,네 알겠습니다
사기범,네 궁금하신 거 있으면 연락 주세요
피해자,네
사기범,네
