Role,Dialogue
피해자,여보세요
사기범,예 고객님 대출산데요. 생활 사고나 결제 자금 필요 하신거 있으세요 고객님
피해자,네
사기범,신용 카드 사용하고 계시면 서류 없이 다 대출 가능하신데 신용 카드 사용하세요?
피해자,네
사기범,아 카드는 어디 카드 이용하세요 고객님 ?
피해자,신한카드요
사기범,아 신한이요. 총 한도가 이게 얼마나 되세요 고객님?
피해자,이천만원이요
사기범,아 쓸 수 있는 잔여 한도가 남아 있으세요 다 사용하시고 하나도 없으신 거에요?
피해자,이천만원 남아있는데
사기범,천만원이요?
피해자,이천만원 그대로 있어요
사기범,아 그대로 남아 있으신거에요?
피해자,네
사기범,"네 아 그러세요 고객님 생활 자금 제가 안내드릴거구요 나이 제한이 있는데, 앞에만 몇 년생이세요?"
피해자,나이는 왜요?
사기범,나이 제한 땜에 여쭤본다고 제가 말씀 드렸는데
피해자,..
사기범,필요하신 자금 없으신 거에요 그러면?
피해자,나이가.. 나 이십.. O년생인데요
사기범,네?
피해자,O살 이라고요.
사기범,O살 이면 몇 년생이시죠?
피해자,계산을 해보시면 알죠... 여보세요?
사기범,O년생이시자나요. 그쵸?
피해자,예
사기범,그 나이 제한되어 있어서 여쭤봤는데 O년생이시면 충분히 가능하시구요
피해자,네
사기범,아 근데 이 상품 같은 경우는 이제 카드가 신용 때문에 따로 서류가 필요
피해자,네
사기범,그래서 제가 무조건 뭐 이용을 하시라는 건 아니고 중요한건 이율이잖아요 어 분할 납부도 가능하신 거고 최장 이십사개월까지 가능하신데 선택은 이제 본인께서 해주시면 되시는 거구요 아 저희가 이율 안내 드리고자 전화 상담원 김미정인데요 동명이인 때문에 여쭤보는 성함이 어떻게 되시나요?
피해자,OOO
사기범,예 아 예 접수가 되셨구요. 제가 이율하고 이제 한도 부분 안내될 건데 아 저희가 접수 조금 밀리셔서 십분후에 다시 연락드릴 거예요 고객님 그 심사팀에서 전화드릴 거니까
피해자,어디에요 근데 거기
사기범,아 저희는 우리 금융이에요 고객님
피해자,우리금융이요?
사기범,예 예
피해자,어디 뭐 우리은행 그런?
사기범,"아니요 저희가 우리 은행 하곤 관계가 없고 제 2 금융권, 우리 금융이에요 고객님 피해자 : 네"
사기범,무조건 하시는 건 아니고 들어보시고 조건이 맞으시면 그때 가서 결정해 주시면 되시는 거예요 고객님 그러니까
피해자,신한 저축 그런거?
사기범,네?
피해자,저축은행 같은거 그런데가 2 금융권이잖아요?
사기범,저희는 2 금융권이라고 우리 금융이요 저축은행 캐피탈 캐피탈
피해자,아 캐피탈
사기범,네네
피해자,아 우리 캐피탈
사기범,예？
피해자,우리캐피탈?
사기범,우리 금융인데 캐피탈이라고요 고객님
피해자,아 알겠어요
사기범,예 접수되셨구요 카드 대출 제가 안내드릴거구요 십분 이내로 전화드릴 테니까 꼭 좀 받으세요 고객님
피해자,예
사기범,예 감사합니다
