Role,Dialogue
사기범,여보세요.
피해자,네.
사기범,"네, 고객님."
피해자,예.
사기범,제가 고객님이랑 분명 통화하고 완납 서류 보내준다고 말을 했죠. 제가?
피해자,네.
사기범,"네, 근데 고객님이 연락피하셨어요? 안피하셨어요?"
피해자,연락피하기 전에 제가 알아봤는데 이 번호가
사기범,"네, 그건 고객님께서 알아 본 거지. 고객님께서 잠시 제 말 한번만 할께요."
피해자,네.
사기범,제가 네 고객님께서 만약에 알아 보셨뜬 알아 봐서 뭐 보이스피싱이라고 하든 뭐 사기꾼이라고 하든 그거는 지 전에 제가 고객님한테 분명 말씀드렸어요. 고객님 완납 서류 받고 고객님이랑 통화 후에 제가 완납 서류 보내드린다고 근데 완납 서류는 공문이기 때문에 내가 영수증을 보내드린다고
피해자,그니까 영수증이잖아요. 영수증이자나. 아 영수증인데.
사기범,"아뇨 그니까, 제가 말 하고 있잖아요. 이 완납인데 완납 서류가 영수증이랑 똑같아요. 고객님."
피해자,예.
사기범,제가 지금 말 하고 있잖아요. 말 끊지 마시구요. 제 말좀 들어주세요. 저는 일단 고객님이랑 대화를 할려고 전화를 한 거지 고객님 이야기만 들을려고 전화를 한 건 아니에요
피해자,네.
사기범,"제가 먼저 말을 할께요. 저는 그래서 공문이 공문 저희 고객님한테 보내드릴려고 완납으로 보내드릴려고 지금 받고 있어요. 받았는데 제가 고객님이랑 통화 후에 완납 서류 보내드릴려고 고객님한테 전화를 했는데 고객님이 전화를 안 받으셨어요. 계속 이야기 중이시래요, 기다렸어요. 그래서 고객님 전화하니까 다짜고짜 남자분이 받으셔서 뭐 개 같은 년이니 뭐 십팔년이니, 욕을 다하셨어요."
피해자,네.
사기범,네. 저는 애초에 고객님이 그냥 전화 제 전화 안 피하고 제 전화 받으셔서 아 이 사람 대리님 저 오백만원 이거 안 보겠어요. 돈이 안 빌려주네요. 그냥 삼백만 원 이거 완납 처리 좀 보내주시겠어요? 그리고 삼백 만원 하고 그냥 한도 뭐 천팔만 원을 받을 게요. 이 말을 했었으면 저는 고객님 있죠. 완납 서류 보내드리고 오늘 네시 전에 고객님 마이너스가 나가셨을 거에요
피해자,"근데 왜 여의도지점, 여의도지점이라고 말해요?"
사기범,고객님 제가 고객님 이제 말에 믿으시든 안 믿으시든 어쨌든 마이너스 통장 발급 안 나가실 거구요.
피해자,네.
사기범,"네, 지금 뭐가 궁금한 거세요?"
피해자,왜 국민은행이라고 사칭했냐고요?
사기범,저희 국민은행 맞습니다. 고객님.
피해자,그 건너편 지점에선 아니라고 하는데요.
사기범,"저희 영업기획부구요, 고객님, 영업기획부 제대로 알아보셨어요?"
피해자,그런분 아예 없다는데요? 여의도지점.
사기범,여의도지점에서 물어보셨어요?
피해자,네.
사기범,"여의도지점에서 물어보셨구나. 저희는요 고객님. 일반 부서가 아니라 영업기획부라고 말씀드렸구요. 네, 영업기획부에요. 고객님. 머 그 은행 창구가 아니라 영업기획부에요. 고객님 좀 제대로 알아보시고 저한테 따지셔야지 제대로 알아보시지도 않고 다짜고짜 욕하시고 고객님 제가 늘 말 했잖아요. 저 믿으시라고, 고객님께서 다짜고짜 욕하시고 뭐 xxx년이니 뭐 xx년이니 제가 뭐 어느 장단에 맞출까요?"
피해자,어차피 완납을 했든 안했든 저는 돈을 부쳤으니깐 그쪽에서 바로에다가 연락하면 되잖아요.
사기범,어디 바로에다가요?
피해자,네.
사기범,"고객님 제가 한번 말씀 드릴게요. 크흠. 바로크레디트에 삼백만원 상환되셨구요, 완납 서류가 저한테 있어요."
피해자,네.
사기범,고객님이 전화하시면 지금 바로크레디트에
피해자,네.
사기범,"일단 바로 전화하신 바로크레디트엔 상환이 안 됐다고 나오실 거에요. 왜냐? 완납 서류를 제가 들고 있으니까, 그런데 지금 고객님께서 마이너스 통장 고객님이 하신다고 하셔도 저는 취소 처리 도와드릴 거에요. 저는 이 기분으로 고객님한테 마이너스 통장 내어드리고 싶지 않으니까요. 무슨 말인지 아시겠죠."
피해자,네.
사기범,그리고 마이너스 통장이 지금 취소하면은 삼개월 뒤에 바로 크레딧트에서 삼백만 원 상환 이거 환급되실 거구요. 삼개월 뒤에 받으세요. 제 말 무슨 말인지 아시겠어요?
피해자,삼개월 뒤요?
사기범,고객님 그냥 이것만 알고 계세요. 고객님께서 애초에 저 믿고 진행을 했으면은 고객님이 아무리 의심을 하고 있든 뭘 하고 있든 제 말 먼저 들으셨으면은 저는 고객님한테 이렇게까지 화를 않네요. 그래도 고객님이 아~ OOO고객님이 의심하셨구나. 그래도 어떻게 마이너스통장 발급내어드려야지. 전 마이너스 발급내어드렸을 거예요. 근데 고객님이 다짜고짜 욕하셨잖아요?
피해자,제가 욕했어요?
사기범,"고객님 욕안하셨어요? 저한테? xx년, 사기꾼년 안하셨어요? 그리고 고객님 뭐"
피해자,그 다음에 다시 전화했는데 전화 안받으니까…
사기범,고객님. 그게 아니라 제가 처음에 전화해서 어떤 남자분께서 저한테 뭐라고 하셨어요? 뭐~경찰서 뭐 지능팀이라고요? 고객님 지금 어 경찰서 수사관이 자기 이름 안 밝힌사람 한명도 없어요. 고객님이 누굴 바꿔준지 모르겠는데 수사관이 자기 이름 안 밝힌다는거는 그건 사기꾼 인거에요
피해자,근데?
사기범,저는 제 이름 밝혀드렸잖아요. 어느 경찰관이 자기 수사관 찾아오라면서 내 갈건데 이름을 알려줘야 제가 찾아가죠.
피해자,강서경찰서 갖다오면 되잖아요?
사기범,네?
피해자,강서경찰서.
사기범,고객님. 다짜고짜 제가 전화드렸을 때 고객님이 남자분 뭐 경찰서 수사관이라고 하는데 수사관 아닌 거 저는 이미 알고 있구요. 그 수사관 고객님이 알고 계시면 이름 좀 알려주시겠어요? 제가 진짜 경찰관인지 한번 물어보게?
피해자,저도 몰라요.
사기범,네 당연히 모르시겠죠. 경찰관이 아니시니까. 네 맞죠? 제 말.
피해자,그렇게 저는 그 남자분은..
사기범,"그 남자분이 저한테 뭐 xxx년이니 xx년이니 이 말만 안했어도 전 오늘 마이너스 통장 고객님 발급내어드렸어요, 기분 나빠도.."
피해자,그렇게 욕할줄은 몰랐고 전화가 오니까
사기범,그분한테 저한테 사과하라고 하세요. 그러면 제가 내일 마이너스통장 발급 내어드릴게요. 그 남자분한테 지금 저한테 전화해서 사과하라고 하세요. xxx년 xx년이라고 해서 미안하다고.
피해자,그 분 경찰관 맞아요.
사기범,제가 내일 마이너스… 네?
피해자,경찰관 맞다고요. 상의하러 갔다고요. 전화번호 확인차 때문에 갔었다고요.
사기범,"음, 그럼 경찰서 가서요, 그분한테 저한테 사과하라고 하세요. 그러면. 그럼 제가 내일 마이너스통장 발급 내어드릴게요. 오늘 영업 시간 끝났으니까. 그럼 제가 내일 만약에 바로 넣어 드릴게요. 아니면 삼개월 뒤에 환급 받으시든지."
피해자,삼개월 뒤에 환급 받다니 그게 무슨말이에요?
사기범,삼개월 뒤에 바로 크레딧트에서 삼백 만원 상환하신 부분 삼개월 뒤에 환급 가능하세요. 지금 마이너스 통장 취소하시면~
피해자,예.
사기범,네 아니면 그 남자분한테 가서 경찰관님이는데 경찰서 가셔서 지능팀 가셔서 그분한테 저한테 전화 바꿔주세요. 경찰서 가시면 저한테 전화주시겠어요? 그럼 그 남자분이 저한테 xx년 이라서 죄송하다 및 xx년 뭐 xxx년이라고 해서 죄송하다 이 말 한 마디 하면 제가 내일 마이너스 발급 내어드릴게요. 책임지고 내일 네 마이너스통장 내어드릴 테니까. 그분한테 저한테 사과하라고 하세요.
피해자,거기가 어딘데요? 지점이?
사기범,저희 영등포 여의도 본점이라고요. 여의도라고요. 고객님 고객님 저 더 이상 이제 고객님이랑 할말 없는 거 같애요. 뫼비우스 띠도 아니고 뭐 똑같은 말만 계속해요
피해자,"아니 저 그..아까 아까 영수증, 영수증 보여준다고 했잖아요. 근데 왜 안보여주세요?"
사기범,"제가 왜 안 보여드렸냐면요,"
피해자,완납증명서는 아니라고 했지만 아니
사기범,"제가 영수증 필요없다 했어요. 완납서류 완납서류에요, 고객님. 제가 지금 읽어 드릴게요. 아 보자, 네, 차익금 상환 증명 확인서 OOO성명 다 써져 있구요. 확인자 바로 그레딧트 대부 차액금액 삼백만원, 차익일자 이천 십 칠년 삼월이일, 상환 금액 삼백만 원, 상환일자. 이천 십 칠년 삼월이일, 상환계좌 신한 담당자 관리 계좌이용용도 국민 은행 격려 일시 상환 요청 이거 서류 저한테 있어요."
피해자,네.
사기범,"저는 고객님이랑 통화하고 영수증이 아니라 확실하게 완납 서류를 보내드릴려고 했어요. 제가 나중에 피해 보더라도 근데 고객님 그 남자분 저한테 뭐하고 했어요? xx년아 xxx년아,근데 제가 이런 욕듣고 어떻게 이거 공문을 보내드려요. 고객님. 고객님 입장 바꿔서 한번 생각해보세요. 고객님이어도 전화 못 고객님이어도 안 보내주셨을 거에요. 그러니까 그 남자분한테 가서 저한테 사과하라고 하세요. 그러면 제가 완납 서류도 보내드리고 마이너스 통장도 내어드릴 테니까. 고객님이 제 말을 믿으시든 안 믿으시든 상관 없어요. 저는 어쨌든 실적때문에 고객님께 마이너스통장 내어주기로 했고 이렇게 여의심사건을 해주기로 했으니까, 저는 제가 한 약속 지킬 거에요. 아니면 취소 처리하든지 아니면"
피해자,취소처리 바로하세요.
사기범,삼개월 뒤에 받는다고요. 바로크레딧트에서.
피해자,삼백만원을요?
사기범,"지금 되게, 네, 다 지금 저 따른 업무 때문에 되게 바빠요. 지금 고객님이랑 이렇게"
피해자,삼개월 뒤에 받는다고요? 제가?
사기범,"네, 삼개월 뒤에 받으신다고요."
피해자,아니 어쨌든 완납은 제가 된건데 다시 재대출을 받나요?
사기범,"아니요, 제 대출이 아니라 고객님께서 바로크레딧트에 상환 요청했잖아요. 상환 요청하고, 고객님 삼백만 원 상환하셨잖아요."
피해자,네.
사기범,"이 부분 삼개월 뒤에 환급 받으실 거라고요. 지금 마이너스 통장 취소하면 근데 고객님께서 취소 안하시면 바로크레딧트에 삼백만원 상환됐다고 고객님한테도 연락 오실거고 고객님 마이너스가 나가시는 거예요. 그냥 이해되셨어요? 고객님, 계속 똑같은 말로 통화중이에요."
피해자,어짜피 만약에 내일까지 바로에서 연락은 오겠네요. 삼백만원 결제됐다고?
사기범,"아니죠, 완납서류를 제가 들고 있어서 제가 바로크레딧트에 연락을 할거에요."
피해자,네.
사기범,"고객님. 취소처리 해달라고, 근데 고객님 저랑 편법적인 제 편법적으로 지금 진행을 해왔고 그 다음에 자금 회수팀에서 취소 처리하는데 삼개월 걸릴 거예요. 제가 자금회수팀 어떤 부서인지 말씀드렸죠? 일반 VIP고객님들은 취소처리 안 해요, 고객님. 근데 취소처리하면 전산 때문에 삼 개월치걸려요. 빠르면 뭐 이개월 걸리겠죠. 그러니까 고객님 어떻게 하실 거예요. 이것만 얘기해주세요. 저랑 고객님이랑 저는 고객님한테 이미 기분이 상했기 때문에 고객님 이렇게 한번 이렇게 한다 저렇게한다 어떻게 하실 거에요"
피해자,어제까지만 해도 바로에서도 전화가 오고 바로 직접부치면 이렇게까지 안하는데
사기범,네.
피해자,바로에서 전화도 안오고 그 전화는 안받고 그러면…
사기범,전화를 안받는다고요?
피해자,예.
사기범,하나 말 하나 말씀 드릴게요. 자금회수팀이 고객님 이렇게 전화 받는 상담 업무하는 곳이 아니에요.
피해자,아니 그러고나서 아까 전화안받는다고 뭐좀 물어볼려고 했는데 다시 얘기했잖아요. 다시 전화가 왔는데 밥먹으러 갔다왔대요. 근데 또 아까 저한테는 한시간 있다가 온다고 한시간 걸렸다고 말해보니까 두분이 말이 틀리니까.
사기범,네.
