Role,Dialogue
사기범,여보세요
피해자,네 여보세요
사기범,아 예 안녕하세요. 제이티 친애 저축 은행 법인 콜센터 상담원 오윤정 입니다 고객님.
피해자,네
사기범,예 예 고객님 저희가 회사 쪽에서 여러 군데 높은 금리대로 이용하시는 자금있으시면요.
피해자,네
사기범,저희가 이번에 낮은 금리대로 부채 통합이나 추가적인 자금을 지원해드리고 있으세요
피해자,예
사기범,예 예 근데 이 상품은 이제 연체 건만 없으시면 기존에 기대출이 많으시거나 등급이 낮으셔도 가능하신데요.
피해자,예 그럼 제가 그 제이티 저축 은행에서 직접 받는 건가요?
사기범,네 네 저희 제이티 친애 저축 은행에서 자금 나가시는 거구요
피해자,아
사기범,혹시 뭐 높은 금리로 이용되시는 자금은 있으세요?
피해자,상담원 성함 먼저 알려주세요.
사기범,예?
피해자,상담원분 성함 먼저 알려주세요.
사기범,아 예. 고객님 저는 오윤정이라고 합니다 고객님. 예 저희가 이제 상담 접수가 되시면 고객님 상담원 성함이나 전화 번호 문자 발송을 해드리고 있어요
피해자,네
사기범,그래서 요즘에 뭐 개인 정보 유출 건이라든지 뭐 중개업자라든지 문제가 많으시잖아요.
피해자,애초에 제 번호는 어떻게 알고 지금 전화 주신 겁니까?
사기범,"아 저희가 고객님의 신상을 알고 연락 드리는 건 아니시구요. 이번에 이제 홍보 기간이셔서 한도, 금리 상담 받아 보시라고 컴퓨터상에 숫자 조합을 해서 연락을 드린 거예요"
피해자,항상 전화 오는 데선 그렇게 이야기하니까요.
사기범,아 그러세요. 저희는 고객님 중계업자 아니시구요. 저희 제이티 친애 저축 은행 이시고요. 고객님께서 확인해 보시라고 저희가 문자 메시지까지 다 발송을 해드리는 거기 때문에 충분히 확인하신 다음에 상담...
피해자,저번에 제가 문화콜이라는...
사기범,네?
피해자,"문화콜이라는,"
사기범,네 네
피해자,사이트 통해가지고 제이티 저축 은행 관련 해가지고 이런 전화가 오지 않도록 제가 조치를 해놨거든요.
사기범,문화콜이라는?
피해자,네 네. 거기서 공지 사항으로 이렇게 본 걸 확인을 하니까
사기범,네 네
피해자,신청 후에도 이런 식으로 전화 주시면은
사기범,예 예 근데 고객님 그런 신청은 저희가 이제 저희 제이티 친애 저축 은행 지점에서문화콜 설정을 해드리는 거기 때문에 고객님께서 따로 설정을 하신다그래서 연락이 안 들어가시는 게 아니세요.
피해자,그거는 제가 지금 녹음 중이니까요 당신 신고하게 되면 은 조치가 어떻게 이루어지는지 지켜보면 알 것 같고요.
사기범,아 예 예 알겠습니다.
