Role,Dialogue
피해자,여보세요
사기범,안녕하세요 고객님. 저희 서민 지원 나눔이 대출인데요. 필요하신 자금 얼마 정도 되시나요?
피해자,서민 지원이요?
사기범,네 네 서민 지원 나눔이 대출이에요 고객님.
피해자,나눔이 대출이요?
사기범,네네 필요 자금이 있으시면 저희가 조회기록 남는 거 아니시니까 간단하게 몇 가지만 여쭤보고 진행 여부 말씀 해드려도 괜찮을까요?
피해자,저는 여기서 대출 받으면 어디서 대출금을 받게 되나요?
사기범,저희는 중계는 아니 시구요. 저희 자체 내에서 나가시는 거기 때문에 그 KB금융 자체에서 받으시는 거에요.
피해자,KB금융이요?
사기범,네 네
피해자,KB 국민은행인가요?
사기범,네 네 은행권은 아니 시구요. 저희 자체 내에서 받으시는 거에요.
피해자,아 제 번호 어떻게 알고 연락 주신 건가요?
사기범,아 일 전에 저희 KB 금융 쪽으로 해서 대출 상담 받으신 이력이 있으셔서 전화를 드리는 거구요.
피해자,네
사기범,예 그니까 조회기록 남는 거 아니시니까 간단하게 저희가 몇 가지만 여쭈어 봐도 괜찮을까요 고객님?
피해자,아 그럼 제가 상담자분 성함 먼저 알 수 있을까요?
사기범,아 저는 최소정이구요. 예 저희는 접수처기 때문에 일단 접수를 하고요 고객님. 이체측에서 전화를 드릴 거에요.
피해자,근데 제가 이런 관련된 내역을 전화를 받는걸 원치 않는데 그리고 이렇게 전화를 주셔도 된다라고 동의를 한 적도 없는데 이렇게 전화를 주셨네요. 어떻게 그렇게 하신건가요 그동안?
사기범,예 저희는 기록이 있으시기 때문에 전화를 드리는 거에요.
피해자,아 기록이요
사기범,예
피해자,아마 제가 개인 정보 기록을 하는 그 기간이 넘었을 텐데 그 기록을 가지고 저한테 그럼 지금 전화를 주신 거네요.
사기범,예 저희는 네 저희는 뭐 뭐 무턱대고 전화 드리는 건 아니 세요 고객님.
피해자,네 그럼 개인 정보를 회사에서 가지고 있어야 하는 기간이 정해져 있는 건 아시는 거죠?
사기범,그거는 알고 있는데.
피해자,네 그게 폐기가 돼야지 되는데 폐기가 안되고 지금 그 번호를 확인하고 저한테 전화 주신 거고요?
사기범,네 네 당연하죠. 고객님.
피해자,알겠습니다. 그럼 이 내역은 제가 전부 다 녹음을 했구요. 저는
사기범,네 네 상관없으세요 고객님. 녹음 하셔도.
피해자,신고를 진행을 하도록 하겠습니다. 감사합니다.
사기범,네 네 그렇게 하세요.
