Role,Dialogue
사기범,필요하신 자금이 삼천만원 이시잖아요
피해자,네
사기범,최대한 진행을 해서 삼천만원이 다 안되더라도 2800만원까지는 무조건 가능하시니까..
피해자,그러면 정확하게 ok저축에 서류를 받아본게 없는데 금리하고 상환을 알아야..진행이 되지 않습니까
사기범,상환 기간이나 납부하시는 방식은 본 심사 들어가실 때 직접 말씀을 해주시면 되구요 그부분은 다 녹취가 되니까 심사전화에서..
피해자,그러면 ok저축에서 제가 여기를 받았는데 다른곳에서 진행을 하고 있거든요 그러면 과장님이 정확하게 된다고 얘기를 해주셔야 제가 다른곳에서 빨리 진행을 할 수 있거든요
사기범,저희쪽에서는 이미 확정 금리로 이미 다 나오신 거기 때문에 무조건 진행이 가능하시구요
피해자,확정금리가 몇%인가요?
사기범,6.2%요
피해자,6.2%요? 그러면 어떻게 할까요 다시 진행을 할까요 어떻게 할까요?
사기범,ㅇㅇ저축은행이 처음에 접수가 언제 들어가셨죠?
피해자,아니 ㅇㅇ는 심의 2300만원을 한다고 했구요 근데 대출을 해달라고 하셔서 대출을 진행해달라고 했거든요
사기범,혹시 ㅇㅇ는 서류 첨부가 안되시나요?
피해자,아뇨 본사에서 서류 발부 하고있어요
사기범,그러면 ㅇㅇ저축은행으로 진행하시는게 훨씬 빠르실거에요 ㅇㅇ저축은행이 서류가 들어가고부터 사업자분들을 최소 2일에서 3일 걸리는 걸로 알고있거든요 제가
피해자,그럼 오전에 제가 서류 본사에서 발급 되는거 보고요 만약에 그게 안되면 ㅇㅇ로 진행을 하도록 할게요
사기범,네 알겠습니다
피해자,알겠습니다 네
사기범,바로 전화를 이번호로 주셔서 ㅇㅇ과장 찾아주시면 감사하겠습니다
피해자,네
사기범,네 감사합니다
