Role,Dialogue
사기범,여보세요?
피해자,여보세요?
사기범,예.
피해자,예 지금 대출
사기범,네네
피해자,보증선다고 했는데
사기범,보증을 서신다고 하셨다고요?
피해자,"네, 보증을 선다고 했는데 보증이 만약에 보증이 안되요."
사기범,네네.
피해자,안된다고 담당자한테 했어요
사기범,에예
피해자,근데 이제 그 거기서 기록이 남을수 있고 불이익이 갈수 있다고 얘기를 했거든요. 지금 전화하는 이곳에서
사기범,저희쪽에서요?
피해자,네네.
사기범,네.
피해자,이게 맞는건가요?
사기범,뭐 지금 서류를 저희한테 보내주시고
피해자,서류보낸적 없어요.
사기범,그러면 저희가 안남죠.
피해자,그쵸.
사기범,네네.
피해자,근데 그 지금 아까 이 번호로 전화오신 여자분은 왜 남는다고 저한테 막 협박성으로 얘기해요?
사기범,어떤분이 그러셨는데요?
피해자,이름은 모르겠는데 네 이 번호로 연락
사기범,핸드폰 번호 어떻게 되세요
피해자,쟤 핸드폰 번호요?
사기범,"아니요, 그 쪽 뭐 그 산와머니 번호"
피해자,지금 번호로 전화왔어요. 이번호
사기범,이 번호로 전화오셨다고요?
피해자,예 제가 건 이 번호
사기범,음… 잠시만요.
피해자,근데 거기 어디에요?
사기범,저기 중개업체에요
피해자,중계업체라고요?
사기범,네네네.
피해자,아까전에 전화했을때는 신한금융이라고 하던데.
사기범,뭐 신한 은행이나 신한 캐피탈이랑 저축 은행 쪽으로
피해자,네네
사기범,네 네 그쪽으로 저희가 중개를 해드리고 있어요
피해자,그럼 아까 전화받는데 신한은행이 아니네요.
사기범,신한금융이라고 통화를 하죠.
피해자,성북지점이에요? 거기가?
사기범,네네네. 네네.
피해자,정확히 상호명이 신한금융인거에요?
사기범,중개 업체라고 생각해 주시면 되세요
