Role,Dialogue
피해자,예 아니 그니까 어디 지점이냐고요. 그걸 알아야 될 거 아니에요. 누군지 저는...
사기범,저희가 코드번호를 갖고 있는 법인 수탁 업체에요. 그 밑에 있는 거...
피해자,밑에 있는거... 아니 아까는 본인... 아니 거기 직원이라면서 그게 수탁업체랑 그거는 틀리잖아요. 그건 왜 틀립니까.
사기범,아니 코드명을 갖고있잖아요.
피해자,코드명이 몇 번인데요? 코드명이...
사기범,그걸 왜 누구한테 알려줘야 돼요. 그거를 알려주면 알려주는 게 더 큰일 나는 거지 피해자 : 아 그래요?
사기범,아니 코... 아니 코드는 왜 알려줘야 돼요.
피해자,일단은 그쪽이 지금 문제를 갖다가 저한테 먼저 연락을 주셨잖아요. 그죠?
사기범,네네.
피해자,연락을 주셨고 예. 직원이라고 OK저축은행 직원이라고 본인 입으로 이야기하셨고. 맞죠? 내가 다시 재차 물어봐도...
사기범,담당자라고 말씀드렸죠
피해자,예?
사기범,담당자라고 말씀드렸구요.
피해자,직원이라면서요?
사기범,아니 고객님. 그래서 뭐 어쩌시게요. 저희는 뭐 걸릴 게 없어요.
피해자,걸릴 게 없어요?
사기범,네.
피해자,예 알았습니다. 그러면 나중에 어차피 사기친 걸로 내가 할 거니까.
사기범,뭐 사기 친 게 없는데 어떻게 신고하시게요?
피해자,예? 제 세금 갖다 가져갔잖아요.
사기범,고객님이 보내주신거잖아요.
피해자,아니 사칭을 했잖아요. 그 직원이라면서요.
사기범,사칭 안 했는데요?
피해자,직원이라면서요. 일단은 신고를 할 테니까요. 그 쪽에서 경찰서 불려가가지고 하든 말든
사기범,예 알겠어요.
피해자,예 알았어요.
