Role,Dialogue
피해자,여보세요
사기범,네 여보세요 ...입니다 고객님.
피해자,네네
사기범,어 지금 전산 내려가지고 연락을 드렸어요.
피해자,네?
사기범,어떻게 이 지금 결제 건이 전산이 되셔서 연락을 드렸습니다. 고객님
피해자,"아 그거 뭐 금리가. 금리가 이렇게 변동이 될 수 있다고, 합산 금리를 받아야 되면 뭐 인지세 이러면서 또 돈을 내야된다는 거에요"
사기범,어 이거 금감원에서 아마 승인 절차를 밟는 부분인데 이거 고객님. 인지세부분이 지금 나오셨다고 했는데 이거 납부하실 필요가 없습니다.
피해자,네네
사기범,이거 제가 지금 가까운 지인 등록시켜드렸거든요 고객님
피해자,아 네
사기범,결제가 지금 고객님 이거 지금 납부를 해야 된다고 말씀하시던가요?
피해자,네
사기범,어? 이거 고객님 이거 제가 올라가서 확인해 볼게요. 이거 절대 납부 안 하셔도 되세요. 고객님 걱정 마세요 이거.
피해자,네 그래서 제가 그 얘기해보고 다시 얘기해본다 그랬거든요 담당자랑
사기범,아 고객님 납부 안하셔도 되세요 고객님
피해자,아 네
사기범,지금 전산 보고 깜짝 놀래 갖고 이게 지금 내용이 어떻게 된 건지 알고 제가 또 올라가서 요청을 해야 되니까요
피해자,네네
사기범,다른거 없으셨구요 고객님?
피해자,네네
사기범,그니까　이게 가까운 지인 등록　시켜 드린 부분으로 해서 고객님 면제 특권을 제가 올려드렸어요. 근데 지금 근데 지금 또 얘기가 나오시는거 보니까 잘못 된 거 같구요. 제가 올라가서 확인해 보고 바로 오겠습니다. 이거 납부 안하셔도 되니까요 걱정 마시고요 고객님.
피해자,네
사기범,네
