Role,Dialogue
피해자,여보세요?
사기범,네 여보세요
피해자,네
사기범,아 네 고객님 설명 도움주렸던 하나 캐피탈 김민기 대리입니다
피해자,네
사기범,아 네 고객님 뭐 진행 상황에 대해서 어떻게 좀 진행을 도움 드려야 될까요?
피해자,네
사기범,네 진행 상황 어떻게 도움을 드릴까요 고객님?
피해자,네?
사기범,그 아까 전에 설명 드리고 나서 고객님 제가 30분 뒤에 전화를 드린다고 말씀드렸잖아요. 아 일단은 뭐 상환 처리 진행이 가능하신 거에요?
피해자,네 네
사기범,일단 그러시면 뭐 산와머니로 하셔야 될지 제이원으로 하셔야 될지. 일단 저희 쪽에서 고객님 산와머니 쪽으로
피해자,지금 같은 경우는 중도 수수료가 들어요
사기범,중도 수수료 신청은 걱정하지 마세요. 저희 쪽에서 중도 수수료는 부담해드려 해드릴겁니다. 고객님.
피해자,예
사기범,그러시고 일단은 저희 쪽에서 대출 자금 당일 중에 만약에 9800만원 건 당일 중에 받으시면은
피해자,네 네
사기범,"산와머니 만약에 400만원 처리되시면은, 산와머니 1500만원에 제이원 2500만 원 남아계시잖아요"
피해자,네
사기범,그 부분에 대해서 저희 쪽 자금 받아 보시고 주말 있으시기 때문에 화요일까지는 납부 처리해주시고 완납하셨다는 완납 증명서 저희 쪽으로 보내주셔야시고요
피해자,네 네
사기범,"음 그러시고 제이원 쪽에 뭐 담보 대출 건으로 있으신데, 일단 저희 쪽은 대환 대출이기 때문에, 담보권이 저희 쪽으로 다시 잡히지는 않으세요. 담보권은 없어지실거에요"
피해자,아 좋네요 그게. 훨씬 낫네요
사기범,네 네 저희는 이제 뭐 담보 건이 아니시고 대환 대출이기 때문에 그렇게 진행이 되실 거구요. 일단은 지금 시간이 좀 늦어지셨는데 당일 중에 대출 받아 보실 수 있게끔 제가 빠르게 좀 진행에 도움을 드릴 겁니다
피해자,네
사기범,일단 저랑 통화 중에 있으셔가지고 본인 이제 안내부터 도움을 드릴 건데 고객님 사용하시는 휴대폰의 명의가 본인 명의 맞으십니까?
피해자,네
사기범,네 통신사는 어느 통신사 이용하셨죠?
피해자,SKT
사기범,네 본인 명의시고 SKT 통신사 이용하시구요
피해자,네
사기범,네 그러시고 그러시면 저랑 통화 중에 있으셔가지고 혹시 모바일 네이버 접속 가능하십니까? 고객님?
피해자,네
사기범,휴대폰 모바일 네이버 접속해주시고 저한테 말씀 한번 부탁 드리도록 하겠습니다
피해자,접속했어요
사기범,네 접속하셨으면은 네이버 검색하시는 검색란 있으시죠? 고객님?
피해자,네
사기범,네이버에 검색란에 고객님 숫자로 하나 둘 둘 점
피해자,하나 둘 둘. 네
사기범,하나 둘 둘 점. 네. 하나 하나 팔 점
피해자,네
사기범,네 팔 하나 하나 팔점 그리고 팔점
피해자,팔 점?
사기범,네 네. 일 일 영
피해자,일 일 영. 네.
사기범,저희 고객님 정확하게 입력하셨는지 저한테 말씀 한번 다시 해주시겠습니까?
피해자,하나 둘 둘 점 하나 하나 팔 점 팔 점 일 일 영
사기범,일 일 영. 네 맞으시고요
피해자,네
사기범,그러시면 검색 한 번 눌러주시구요
피해자,네
사기범,잠시 만요. 네 검색 누르시면 검색 결과 없습니다라고 나오시죠?
피해자,네
사기범,네 그러시면은 잠시만요
사기범,네 그러시면은 검색 그 아래 주소를 그렇게 입력하시고 웹 페이지로 이동할 수 있습니다. URL 바로 확인 눌러주시구요
피해자,네
사기범,눌러주시면 하나 캐피탈 본인 인증 페이지 나오셨습니까?
피해자,네
사기범,예 본인 인증 한 번만 눌러주십쇼 눌러주시면은 뭐 다운로드 하시겠습니까 파일 다운로드 하시겠습니까 라고 나오시죠?
피해자,네
사기범,그러시면 저장 또는 시작 눌러주시구요
피해자,네
사기범,네 그러시면은 고객님 잠시만요. 네 저장 또는 시작 눌러주셨습니까? 지금?
피해자,네
사기범,"네 그러시면은 혹시 와이파이 켜실 때, 위해서 밑으로 내리시는 상단 바 내실 줄 아십니까?"
피해자,네
사기범,상단 바 내리시면은 하나 APK라고 하셔가지고 파일 다운로드 완료되신거 보이십니까?
