Role,Dialogue
사기범,여보세요?
피해자,여보세요?
사기범,"네, 고객님."
피해자,네.
사기범,"네, 가시는중이세요?"
피해자,"네, 가는중이에요."
사기범,"아하, 네. 어 제가 말씀드릴게 하나 있는데요."
피해자,네.
사기범,"네, 지금 그 상환해주실때, 지켜주셔야 되는게 지금 마이너스 통장 발급받으실려고 거치기간내에 상환하실 수 있게 좀 편법으로 진행을 도와드리는거잖아요."
피해자,네.
사기범,"네, 혹시라도 창구 이용하실때, 창구직원이 물어볼 수도 있고, 안물어 볼수도 있는데"
피해자,네.
사기범,"이거 어디로 송금하는거냐,"
피해자,네.
사기범,"누구한테 보내는거냐,"
피해자,네.
사기범,"고객님께 여쭤볼 수가 있어요. 그러실 때, 절대로 상환하는거다, 뭐 이렇게 마이너스 통장 발급받으려는거다,"
피해자,네.
사기범,"이렇게 말씀하시면 안되는거 아시죠, 고객님?"
피해자,"네, 네. 알아요."
사기범,"하하. 요즘 금융권 모니터링이 강화가 되어 있어서,"
피해자,네.
사기범,이렇게 편법으로 진행되는 부분이 있는데 고객님께서 그렇게 말씀하시면은
피해자,네.
사기범,적발이 될 수가 있어요.
피해자,아 네.
사기범,"그리고 이제, 강제상환이라는거를 일시상환이라는거를 개인이 할 수 없는 부분이기 때문에 저희쪽이랑 어떤 연관성이 있는지 파고들 수도 있기 때문에,"
피해자,네.
사기범,그렇게 말씀하면 안되구
피해자,네.
사기범,"음…황용우라는 사람한테 OOO 사람이 사촌인데, 사촌한테 사업자금 보내는거다, 그렇게 말씀하시면 될 것 같아요."
피해자,"네, 알겠습니다. 물어보진 않겠죠."
사기범,"근데, 혹시라도 말씀안드렸는데 말씀안드렸다가 그렇게 창구직원이 물어보게 되면은 또 고객님께서 말실수 하시게 되시면은 고객님이랑 저랑도 큰 좀 문제가 생기잖아요."
피해자,송금하는데 물어보겠어요?
사기범,어떤거요?
피해자,송금하는데 굳이 물어보겠어요?
사기범,"아 혹시라도 고객님, 혹시나해서 말씀드리는거에요."
피해자,네.
사기범,"말씀안하시고 뭐 대출금 보내는거다, 상환하는거다, 이렇게 말씀하시게 되시면은"
피해자,네.
사기범,저랑 고객님이랑 나중에 이제 처벌받을 수 있어서
피해자,네.
사기범,꼭 기억 잘 해두셨다가 그냥 사촌한테 사업자금 보내는거라고 그렇게 말씀만 잘 해주시면 될 것 같아요.
피해자,네. 알겠습니다.
사기범,네.
피해자,네.
사기범,"그러시면은, 음… 상환하시고 은행나오셔서 저한테 연락주세요. 바로"
피해자,네.
사기범,"네, 알겠습니다. 고객님, 오래걸리세요? 가시는중이신데?"
피해자,"네, 지금 가고있어요."
사기범,네에.
피해자,네네.
사기범,"네, 오래걸리세요? 가시는데?"
피해자,한 10분이면 되요.
사기범,10분이요?
피해자,네.
사기범,"네, 알겠습니다. 그러시면은 은행앞에서 들어가시기 전에 전화좀 주세요."
피해자,네.
사기범,네에.
