Role,Dialogue
사기범,믿고 진행합니다 그러면은
피해자,아 그러니깐 아무 문제 없는거죠?
사기범,고객님께 고객님께서 저희 말 잘 따라주시면 아무런 문제가 없으세요
피해자,예 알겠습니다.
사기범,고객님 포장은 다하셨어요?
피해자,네네네
사기범,어? 포장은 다 하셨어요?
피해자,네네네
사기범,어? 책에다가 카드 꼽고 그책을 박스에넣고 테이프로 포장은 잘 하셨어요?
피해자,어디다 넣냐구요?
사기범,카드있잖아요 체크카드 체크카드를 퀵서비스 직원한테 그냥 떨렁 건네주면 그 퀵서비스 직원한테 카드를 주진 않을 거잖아요
피해자,종이봉투에 넣었어요
사기범,책에다가..
사기범,종이봉투?
피해자,책이 없는데
사기범,책책
피해자,그러니깐 책이 없는데
사기범,책이 없으면 노트나 공책 카달로그 잡지 약간의 무게감이 있어야 돼여
피해자,예 알겠습니다.
사기범,알겠죠? 박스에다가 적당히 적당히 책 같 은거 넣고 그 사이에 넣어서 테이프로 포장하고 지금 다 포장하셨다고요?
피해자,네네
사기범,퀵서비스 직원 보내드릴 테니깐 중간에 뺀찌 놓으시면 안 되십니다 고객님
피해자,아 그러니깐.. 믿을게요
사기범,네 믿으세요 저를 믿지 마시고 최진성 상담사를 믿을세요 저보다 연배가 있으신 분이시니깐
피해자,네네
사기범,책임감 있게 해드릴 수 있게 해드릴 수 있으세요
피해자,네네
사기범,예예
사기범,그리고 절대로 얘기하시면 안 되고 중요한 서류라고 하면서 건네주셔야 돼요
피해자,네 알겠습니다.
사기범,비밀번호...
사기범,비빌번호 맞으시고요
피해자,네네네네
사기범,잔액은 다 빼셨고요?
피해자,네네
사기범,네 알겠습니다 고객님
피해자,네
사기범,내일 아 월요일날 한도 체크 위해서 아침에 한번 전화드릴 거에요 또
피해자,어떤거요?
사기범,한도체크 인출 한도체크
피해자,아 그 천만원이던데 보니깐
사기범,ARS로 통화해봤어요?
피해자,아 네 제가 얼마 전에 올려놨거든요
사기범,혹시 모르시니깐 한 번만 더 확인해주세요 ARS로 전화하셔서 상담사 연결하시고 ATM기기 일일 입출금 한도
피해자,네네네 알겠습니다.
사기범,네
