Role,Dialogue
피해자,여보세요
사기범,네 안녕하세요 OK 저축은행 신용 법인이고요. 신용대출 있어도 연체 없으시면 가능하셔서 필요자금 대한 자금 있으세요 고객님?
피해자,아까... 그게 아니고 지금 따른건가요?
사기범,고객님 저희가 안내를 해드리는 거라서 지금 뭐 필요 자금 있으신 거죠?
피해자,필요자금이요?
사기범,네
피해자,필요자금 있죠
사기범,고객님 연체나 신용에 문제는 없으신 거죠.
피해자,연체나 신용에 문제 없어요.
사기범,있어요？
피해자,없다고요.
사기범,"아 그럼 대신 자꾸 다른 소리가 드렸어요　고객님, 그러면 지금 하시는 일은, 직장 다니세요 개인 사업을 하시는 거에요?"
피해자,직장
사기범,사대 보험도 되세요?
피해자,네
사기범,나이　제한만 있는데 몇 년생이시고요?
피해자,O년생
사기범,O년생이요?
피해자,네
사기범,군대는 다녀오신거죠?
피해자,면제에요
사기범,예?
피해자,면제라고요
사기범,어떤 이유로 면제 받으신 거에요?
피해자,그런거 까지 말씀드려야 되나요?
사기범,아 그래도 면제라고 하시니까 아 그러면 고객님 여기서 일 하시는 몇 개월 정도 되신 거에요
피해자,삼년이요
사기범,삼년 고객님。 뭐 한달안에 서류 넣고 진행한 적 없으신 거죠?
피해자,잘 못들었어요 다시 한번 말씀해주세요.
사기범,네?
피해자,다시 한번 말씀해주세요. 잘 못들었어요.
사기범,한달 안에 서류 넣고 진행한 적은 없으신 거죠？
피해자,무슨 서류요?
사기범,서류 넣고 대출 받기 위해서 서류 넣고 진행한 적은 없으신 거죠.
피해자,아 예
사기범,예 그러면 되세요. 월 평균 수입 대략 어느 정도 나오세요?
피해자,삼백만원이요
사기범,삼백이요?
피해자,예
사기범,예 성함은 어떻게 되시고요?
피해자,OOO
사기범,아유 끊어요
