Role,Dialogue
피해자,네 여보세요
사기범,네 고객님 ㅇㅇ 입니다 지금 일단 심사결과는 나오셨는데요 잠깐 통화 가능하실까요?
피해자,네
사기범,일단 지금 메모 가능하십니까 고객님? 3000만원에 9.7% 20개월로 일단 서류 심사 나오셨어요 매달 납부하실 금액이 정확히 63만 2천9백9십2원 이시구요 이중에 원금은 39만..이자는 24만 2천 5백원 씩 나갈 예정이십니다 저희가 설정 잡아드릴건데 동의하십니까?
피해자,네
사기범,예 그러시고 지금 약정에는 저희가 도와드려볼까요?
피해자,어떤거요?
사기범,대출 약정일이요 고객님 매달 원금하고 이자 납부하실 날짜요
피해자,아무날짜나 설정 가능한가요?
사기범,5일단위로 설정 가능하십니다
피해자,20일이요
사기범,그럼 20일짜로 저희가 해드릴거고 일단은 저희가 이제 연동이자 부분 할겁니다 연말이기때문에 좀 지연이 되가지고 몇십분정도 걸릴 예정인데 연동이자가 들어가시면 고객님 국민은행 계좌에서 저희쪽으로 납부가 바로 가능하신겁니까?
피해자,자동으로 바로 출금이 된단 말씀인가요?
사기범,고객님께서 이체를 해주셔야하는거에요 증서 발행 의사가 있는지 없는지 직접 이체를 해주셔서 송금처리 해주셔야합니다
피해자,네 회사이름 다 뜨는거죠?
사기범,어떤거요?
피해자,회사이름이요
사기범,계좌에 말씀하시는거에요?
사기범,아니죠 계좌는 고객님 개인 실명 계좌로 들어가실거에요 저희가 팀장이사급들로 성함으로 직접 들어가실 겁니다 개인 계좌가
피해자,아 그러면 원래 그게
사기범,네
피해자,그랬다가 안되는 경우가 있는데..
사기범,아니죠 고객님 지금 확정 승인서까지 나오셨으면 대출 나가시는거고 왜 개인계좌냐면 작년까지만해도 법인계좌설정으로 가능했는데 대출금받는 과정중에서 문제가 발생됩니다 그때마다 담당자들이 책임을 회피하기때문에
사기범,1:1 맨투맨 형식으로 담당자가 팀장 이상급들로 지정이 되시는거에요 그래야지 나중에 받아가시는거니까요 이해가 되십니까
피해자,담당자분 휴대폰번호좀 알려주시겠어요?
사기범,010..xxxxx
피해자,성함이 어떻게 되신다고 하셨죠?
사기범,김민철입니다
피해자,지금바로 통화 가능하신가요?
사기범,네 지금 업무시간이라서 원래 휴대폰 못만지는데 바로 연락 받겠습니다
피해자,네 알겠습니다
사기범,네
