Role,Dialogue
사기범,채무 통화권으로 지금 대안 대출 진행 도와드리고 있죠.. 근데 저희가 부산에 있는 게 아니고요. 서울 광교 지점에 대부산 쪽에 저희가 지점으로 해가지고 저희가 일을 근무를 하고 있습니다. 왜 그렇게 해야 되냐면 저희가 대표 전화로 계속 고객님께 통화다 보면 신용 부서하고 저희 대안 부분하고 같이 어 일 처리가 안 됩니다. 그렇기 때문에 저희가 그걸 강규진님 이제 대부산에서 근무를 하고.
피해자,네네
사기범,"고객님들 인제 접수가 고객님은 접수가 되셔가지고 진행하신 거지만 고객님 본인이 하실지 결정, 은행 접수가 안 된 상태에요."
피해자,음 네네
사기범,그렇죠? 음 저희는 고객님 신용 그 대출 중계 업체가 대출 에이전시 이용 전산 기록으로 저희가 등록이 되신 고객분들 한해서 저희가 상담을 하고 고객님 담당자 분 상담을 하고 나서 고객님께서 접수를 하실 부분에 대해서 접수를 하면 해드리는데 저 부분이 인증이 되면 그때 거래 중가 본사 쪽으로 접수를 해드립니다. 그때에서야 확인하실 수 있는 거예요. 근데 지금 고객님 확인하실 수 있는 부분 이지만 시간상으로 지금 확인하실 수 있는 부분이 안 돼요. 예 그리고 저희가 인자 접수 건에 대해서 이제 고객님 본인이 인증 하셧고 진행을 하고 이 부분에 대해서는 고객님께서 내일이라도 본사 쪽으로 전화하시면은 확인이 가능하실 겁니다.
피해자,아니 이게 제가 지금 시간이 늦어져서 그런 건 알고 있는데 제가저희가 확인할 수 있는 방법이 하나도 없습니까?
사기범,지금 이 시간에는 없죠.
피해자,그러니까..
사기범,"빨리 말씀해 주셨으면 근데 말씀 드리는 게 뭐냐면 저희가 공문서란 자체를 러시 앤 캐시 쪽으로 고객님이 받으셔가지고 상환 처리가 저희가 월 이자 비용, 거래 유지 비용, 전산 관리 코드비용까지 지급 해드리고 고객님"
피해자,"혹시 아니, 그러면은 혹시 그러면은 제가 아예 통화해서 늦게 퇴근하게 하셔가지고 죄송한데, 제가 뭐 받을 수 있는 팩스나 이런거 하나 있나요? 확인할 수 있는 팩스.."
사기범,"팩스는요.. 고객님께 드리고 어차피 드려야 되는 부분 이지만 지금 저희가 팩스로 이런 부분들을 유출을 할 수 있는 부분이 아니에요. 저희 쪽 지금 자금 나간, 나가신 상태가 아니잖아요. 이게 저희가 함부로 하게 되면 이게 정부 자금이기 때문에 정부 지원과에서 연락이 옵니다. 그럼 저는 징계 처리밖에 안 돼요. 고객님들께 한번 해드리는 부분 같은 경우 에는 내일 확인하셔야 됩니다. 제가 고객님께 해드릴 수 있는 부분이라면 확인을 해드리지만 근데 한가지 더 말씀을 드릴게요."
피해자,네
사기범,고객님께서 구십팔만 원이 아니라 오백만원을 의심을 한다면은
피해자,오백만원이라고.. 예..
사기범,아니요. 제가 그게 더 그 위에요...
피해자,"아니 오백만원이야, 러시 앤 캐시에서 확인을 했으니까. 그 부분은 끝났으니까 됐고. 구 십팔만 원이 만약에 예를 들어 중간에 붕 떠버리면은 그렇게 알아요. 저는 이제 카드 대출 받은 건데 다른 사람 동의로."
사기범,네 근데 제가 말씀드릴게요.
피해자,네네
사기범,아 무슨 말씀이세요.
피해자,아니 죄송해요. 의심해서 죄송한데
사기범,아니요 아니요. 고객님 뭐 고객님 입장에서는 그러실 수 있는 거예요.
피해자,왜나면 저 한번 아버지 어머니가 당하셔가지고.
사기범,아 그런 부분이신지는 알지만
피해자,네네네네
사기범,"제가 말이라도 안심드릴 수 있는 부분에 대해서 제가 최대한적으로 말씀드릴게요. 어쩔 수 없잖아요. 지금적으로 저희가 보여드릴 수 있는 거라면 확실하게 보여드릴 수 있다.없는 건 없는 겁니다 확실한 거는요, 어쩔 수 없어요, 저도. 저도 중계료까지 받아 가면서까지 고객님들께 이렇게 다 그 팩스로 보내드리고 싶지만 해드릴 수 있는 부분은 안 됩니다. 그 대신 장담 드릴 수 있는 거는 구십팔만원이 붕 뜰 이유가 없다는 거예요. 왜 그러냐면 저희가 러시 앤 캐시 접수하고 진행하고 고객님이 상환 처리하시고 다 하셨죠."
피해자,네
