Role,Dialogue
사기범,잘못드렸나?
피해자,"아니요, 저도"
사기범,예.
피해자,전화하고 있는데
사기범,네.
피해자,그냥 아시분들이 금방…
사기범,"낫지 않으시고나, 예."
피해자,빌릴때가 마땅치 않아서
사기범,아…
피해자,카드론이라도 좀 적게 받았으면 더 받을 수 있을텐데 그것도 다 받은거라서요.
사기범,네네네.
피해자,"아, 그러면은…"
사기범,시간을 좀 좀 더
피해자,보험대출 쪽도 한번 알아봐야 되니까
사기범,예예.
피해자,시간을 좀 더 금요일이구나.
사기범,예예. 그러면 오늘 어…꼭 필요한게 아니시고 그러시면 월요일까지도 시간이 있으세요. 그거는 고객님께서 판단하시면 되시는 거예요.
피해자,"예, 안 그래도 월요일날 다시 한번 연락 주셔야 될 것 같은데요. 조건이 된다해도 안될거 같은데요."
사기범,"예, 알겠습니다. 그러면요? 보자~ 조건은 월요일날, 월요일날 최대한 빠르게 제가 일단은 예약으로 우선으로 잡아 놓을 테니까요, 주말동안 고객님 쉬시면서 전화 한번 해보시고요. 그리고 월요일날 아홉 시 반에 회의가 끝나니까, 사십도 아홉 시 사십분쯤에 전화를 드리겠습니다. 예, 오늘 수고하셨어요"
피해자,네.
사기범,네에.
