Role,Dialogue
피해자,여보세요?
사기범,네 안녕하세요 ㅇㅇ 되시나요?
피해자,네
사기범,네 ㅇㅇ무역 ㅇㅇ부장입니다
피해자,네
사기범,거주하시는 지역하고 나이좀 알 수 있을까요?
피해자,서울이랑 .. 거주 지역이요?
사기범,서울이시구요? 나이는 어떻게 되시죠?
피해자,26살입니다
사기범,지금 혹시 무슨 다른 일을 하고 계신거에요?
피해자,아뇨 일 안하고 있습니다
사기범,일단은 톡을 보셨는지 모르겠는데 저희가 신차랑 중고차를 해외로 수출하는 업체인데 중고차 같은 경우에는 매장도 많고 딜러도 많아서 저희가 뭐 수출 보내는데 크게 뭐 애로사항이 없어요 신차같은 경우에는 요즘에 현대나 기아쪽에서 말소를 시켜서 중고차로 수출을 보내요
피해자,네
사기범,그런걸 현대 기아에서 본인들이 직접 보내면 본인들 수익이 생기는건데 저희가 편법으로 보내기 때문에 계약사가 갑이되고 현대 기아가 을이 되잖아요?
피해자,네
사기범,그런데 반대로 을이 계약을 취소할 수가 있어요 요즘에는요
피해자,아..
사기범,그래서 소정의 수수료를 받으시고 구매대행을 해주시는 분들이 있으세요 인터넷 보시면 아시겠지만
피해자,네
사기범,잠시만요
피해자,네
사기범,본인 명의 차를 뽑아오시라는게 아니고 그런 분들이 많으신데 그분들을 관리해주시는 업무가 필요한거구요
피해자,네
사기범,예전에는 어떻게 했냐하면은 그분들이 돈이 없으니까 돈을 드려야 된단말이에요 차를 사오시라고
사기범,근데 돈을 드릴수가 없죠 3500~4000만원 정도 되는 돈을 고객한테 무턱대고 드렸다가 그분들이 먹튀해버리면 저희는 좀 난감해지거든요
사기범,그래서 예전에는 홍길동 고객앞으로 차량을 받아서 수출을 보낸다고 하면 저희가 여기서 계약서 다 받아오시면 이름만 홍길동으로 바꿔서 영업서로 입금을 해줬어요
사기범,이제는 그게 안돼요 이게 정말 홍길동 고객의 돈인지 그거까지 확인을 한단말이에요 그래서 일단 저희가 고객님들한테 카드를 받아요 그래서 그쪽으로 입금을 해서 출금을 해서 영업소로 무통장입금을 본인이름으로 다 보내드리거든요
사기범,그런업무를 좀 해주시는거구요 계약날 중도금 출고할때 세번을 못오세요 그래서 출고하시는날 어차피 본인이 오셔야되기때문에 그때는 오시는데 그전에는 안되기 때문에 카드를 택배로 보내주시거든요 그거 다 수령하셨다가 그걸로 이제 바이오가 입금 되면 저희가 시그널을 다 드릴거에요 카톡으로
사기범,그럼 출금하시고 해당은행가셔서 무통하시고 이렇게 하시는건데 말은 쉬워보이는데 잔업무들이 좀 많아요
피해자,어떤..
사기범,배송업무하시는 분들 계약서 관리해주는분들 알바분들이 꽤 많으세요 단순알바분들 그분들 시제비 이런것도 간간히 계속 넣어주셔야 돼고 외부에서 정리업무를 봐주신다고 생각하시면 돼요
사기범,집이 서울 어디쪽이세요?
피해자,ㅇㅇ쪽
사기범,그럼 오전에 가장 가까운 전철역에서 대기하셨다가 택배가 오실수도 있고 고객한테서 직접 수령할수도 있고 카드를..
피해자,네
사기범,대기하셨다가 제가 시간 알려드려요 바이어가 언제쯤 입금할거다 하면 대기하시다가 출금하시고 이동하셔서 또 무통하시고 또 이동하셔서 출금.. 한은행이 아니고 이동하면서 하시거든요
피해자,아 네
사기범,그래서 이동하는게 처음엔 좀 힘드신데.. 대기하는것보단 이동하시는게 나을거구요 일을 하시는데
피해자,어디에 이동이요?
사기범,은행이 좀 많은 지역으로 계속 이동 하시면서 업무를 보시는거에요
피해자,한 은행에서 하면 안돼요?
사기범,그럼 모니터링이 중복이 되어버리면 많으면 하루에 네장 다섯장 하셔야돼요 그럼 그 은행에서 어떤게 빠져나가는지 확인을 못해드려요 바이어한테
피해자,아..
사기범,그래서 중복이 안걸리게 계속 이동하시면서 하는거고 어차피 이동할수밖에 없는게 오늘 뭐 영등포역에서 일을 시작하셨는데 오후에 교대역에 택배올게있다 그러면 교대쪽에 이동 하시면서 업무 처리하면서 가면서 픽업하시고 와서 업무 보시고 이런식으로 하기때문에..
피해자,네
사기범,그리고 페이같은 경우에는 본인이 정하시기 나름인데 총 출금 금액의 1.5%를 받으시는 분들도 계시구요 총 출금 금액의 1%를 받으시되 기본금 60만원을 깔고 가시는 분도 계시구요
피해자,아 기본금 60이요?
사기범,네 그리고 급여는 제가 드리는게 아니에요
피해자,그러면요? 어떻게
사기범,생각을 해보세요 ㅇㅇ씨가 카드 다 갖고계시잖아요 만약 오늘 출금액이 2000만원이에요 그럼 1.5%했을때 금일 수당이 30만원이면 2000만원은 출금 하고 무통장입금은 영업소로 쏴주는거는 보통 1950정도로 해요 그럼 50이 주머니에 있을거라고 저녁때 그럼 50남은거에서 오늘 30만원은 수당으로 가져가시고 5만원은 시제비로 넘겨서 활용하시고
사기범,나머지는 퇴근하시면서 알바분들 시제비로 넣어주시고 당일 가져가시는거에요
피해자,어려운거는 없죠?
사기범,처음에 하루 이틀은 조금 헤매세요 다들
사기범,솔직히 출금하시는거는 초등학교 애들도 해요 근데 무통장입금 해보셨어요 혹시?
피해자,네
사기범,근데 막상 가시면 헤매요 하루 이틀은 다 그래요 나이가 적건 많건 해보셨던 많이 해보셨던 분들도 헤매세요 근데 어차피 반복업무에요
사기범,오래 해주시면 좋은데 단기로 해주실거면 돈은 좀 되실거구요
피해자,그러면 제가 29일 이후로 가능하거든요? 지금 조금씩 알바하는게 있어가지고
사기범,상관없어요 일단 그때 하셔가지고 어차피 하시기 전에 저랑 통화 다시 한번 하시고 전화 한번주세요
피해자,네
사기범,네 전화주세요
피해자,네
