Role,Dialogue
사기범,정해진 저희 고객한테 저희 회사 자금을 회수를 하고 다시 회사로 재입금 처리하시는 외부 경리직을 보신다고 생각하시면 돼요
피해자,아 네 네
사기범,네 자금 관리 쪽으로 일 하시는 거구요. 아 보통 현장으로 출근을 하셔가지고 현장 퇴근하신다고 보시면 되시고.
피해자,음 네네
사기범,"그 근데 근무 시간에 보통 오전 10시부터 오후 5시까지라고 생각하시면 되시는데 근무 시간 뭐 오전 한 10시 반 정도로 생각하시면 되요. 조금 일찍 제가 10시라고 좀 이렇게 작성을 해놨는데, 그거 오전 10시 보단 조금 더 느긋하실 거고."
피해자,그럼 출근은 어디로 하게 되는 건가요?
사기범,출근은 이제 저희가 현장 출근이기 때문에 그 보통 저희 고객이 따로 있어요. 저희 고객 그 소재지에 따라서 좀 달라지기 때문에요. 서울 전 지역이라고 보시면 되요.
피해자,아
사기범,그날그날 출근하시는 그 장소는 다 달라지고
피해자,아
사기범,근데 요즘에는 뭐 서울권만 해서 전철만 타면은 다 왔다 갔다 한시간에서 한시간 반이면 왔다 갔다 다 하잖아요.
피해자,아 네 네
사기범,네 네 뭐 뭐 따로 사무실 들어오실 필요 없고 현장에서 근무 다 보시고 현장에서 바로 어 댁으로 퇴근하시면 보신다고 생각하시면 돼요.
피해자,그러면 하루에 몇 군데 정도 이렇게
사기범,"몇 군데가 아니고 저희는 고객을 배정을 해드리는 거거든요. 제 뭐 업체를 가거나 그러는게 아니라 저희 고객을 배정을 해드리는데 보통 하루에 한분, 많게는 두분 정도 이렇게 담당을 하게 되실 거고, 뭐 그 정해진 고객한테 저희 회사 자금을 회수를 하고 다시 회사로 재입금 처리하시는 거 횟수 자체는 하루에 세건 정도밖에 안 돼요. 그렇게 뭐 많이 그렇게 되진 않고."
피해자,아 근데 회사가 어떤 일을 하는 회사죠?
사기범,아 저희는 이제 그 사업하시는 분들 있잖아요. 사업하시는 분들한테 이제 거래 내역 같은 거를 만들어 드리고 거기에 따른 수수료를 받고 있는 회사에요.
피해자,아 수수료요
사기범,네 네 그니까 그 수수료는 뭐 그분들께서 저희 쪽으로 알아서 해주시는 거고 그 OOO씨하고는 이제 뭐 크게 관계는 없는데 어차피 영업도 영업부에서 다 하는 거기 때문에 따로 영업을 하실 필요도 없구요
피해자,아 네네
사기범,보통 저희 쪽 하고 이제 그 적게는 뭐 오년 뭐 많게는 뭐 십년까지도 이렇게 꾸준히 거래를 해오신 분들만 대상으로 하고 있구요
피해자,아 네
사기범,그 분들이 저희 쪽으로 거래 내역 의뢰를 하는 이유가 이제 뭐 OOO씨는 따로 사업을 해보진 않았을 거 아니에요
피해자,네
사기범,사업하시는 분들이 이제 부가세 신고라는 걸 하잖아요.
피해자,아 네네
사기범,아 예 그래서 뭐 이번 분기에 뭐 현금 매출이 좀 모자라가지고 그걸로 시공 금액을 좀 높혀서 하시려는 분들도 좀 있고
피해자,아
사기범,아니면은 뭐 사업체를 다른 분한테 양도 하실려고 하시는 분들이 뭐 그걸로 매출 잡아서 권리금를 좀 더 받을려고 하시는 분들도 있고
피해자,음 아 예 알겠습니다. 그러면은
사기범,"거래 내역 같은 경우에는 사업하시는 분들한테 굉장히 용도가 다양하기 때문에 저희가 그거에 대해서는 크게 관여, 관여 그러진 않아요."
