Role,Dialogue
사기범,지금 처음에 좋으실 분이
피해자,네.
사기범,"이자 누구냐면… 음, 여기 OOO라고, OOO라고 어 고향어 경기도 일산 있죠?"
피해자,네.
사기범,경기도 일산 쪽에서 핸드폰 매장 아시는 분이에요.
피해자,네.
사기범,핸드폰 매장 하시는 분께서 저희가 그 후원금이 이제 이천만원이 이제 들어갈 건데
피해자,예.
사기범,"음…혹시라도 은행에서 뭐 이 분이 어떤 관계냐라고 물어 볼 수 있으면 그냥 오빠, 친오빠라고 얘기하시고"
피해자,네.
사기범,우리 그 무슨 목적으로 현금이 이렇게 많이 필요하세요? 라고 얘기를 하면 우리 남편이 사업하는 거기 때문에
피해자,네.
사기범,내가 오빠한테 돈을 좀 빌렸다
피해자,네.
사기범,음 사업 자금이다 이렇게 얘기해 주시면 돼요.
피해자,네.
사기범,은행에 들어가시면 그리고 또 하나 인제 음.. 입금을 하고 인제 우리 그 저 우체국으로 이렇게 계좌 이체를 하잖아요?
피해자,네.
사기범,그러면 정상적으로 이체가 됐는지 저한테 음…처음 전화 한번 주시구요.
피해자,네.
사기범,그 다음에 인제 제가어 뭐 사실 우리 선생님은 또 학생 가르키는 게 또 전문가잖아요. 그죠?
피해자,예.
사기범,저희가 또 이쪽 일은 저희도 전문이다 보니까
피해자,네.
사기범,오늘 이제 제가 좀 얘기해 주시는 대로 또 어디로 이동해 달라 그러고 부탁드리면 좀 따라주시면 되구요.
피해자,네.
사기범,아무튼 그렇게 해서 은행 들어가시기 전에 전화 한번 더 주셔야 돼요. 왜 그러냐면 저희 고객분들이 이제 상환을 했는데
피해자,네.
사기범,"저희가 인제 이거를 전산 등록해서 인제 어 상환금을 냈는데 이제 간혹 저하고 OOO하고 어떤 연락이 안 된다든지 그러면 또 우리 고객분들이 또 크레임도 들어오고, 야 왜 나는 확인이 안되주냐"
피해자,네.
사기범,뭐 이렇게 할 수도 있고 고런 부분 떄문에 저희가 수시로 전화를 좀 많이해야 될거 같구요.
피해자,네.
사기범,그래서 이제 은행 들어가시기 전에 전화 한통
피해자,네.
사기범,자 그 다음에 은행에 들어갔어요.
피해자,네.
사기범,"은행을 들어갔는데, 어 이게 그 연락이 안 되고, 뭐 또 은행 창구 직원이 있는 앞에서 뭐 우리 통장작업하는데 뭐 돈 어떻게 됐어요? 물어보기도 뭐 하잖아요. 그죠. 그래서, 은행을 들어가면 저희가 전화를 안 드려요. 왜냐면 들어가신다고 얘기했기 때문에."
피해자,네.
사기범,"근데 이제 뭐가 있냐면 은행에서 업무보다 보면 또 어느 날은 또 사람이 많아서,"
피해자,네
사기범,어 사람이 많아서 대기 많을 수도 있고 또 어떤 때는 또 없을 수도 있잖아요. 그죠.
피해자,네.
사기범,"그래서 대기인이 예를 들어서 뭐 한 열명 이상이다 아홉명 열명 이상이다 좀 기다릴 것 같다라고 하면 뭐 살짝 뭐 화장실 가시면서 전화 한번 주셔도 되고,"
피해자,네.
사기범,뭐 앞에 잠깐 나오셔서 전화 주시면 되고 어 지금 대기 고객님 알아서 조금 기다려야 될 거 같애요. 라고 저한테 전화 한번 주시면 되구요.
피해자,네.
사기범,"만약에 뭐 창구에 사람이 별로 없다 그러면 그냥 일 보시고 나오시면 되는 거예요. 그리고 나오셔서 전화 한통, 예를 들자면 뭐 뭐네 현금 갖고 수수료 얼마 찾았다라고 얘기해 주시면 제가 인제 그 실사 직원하고"
피해자,네.
사기범,"어 동선을 맞춰서 그 직원이 어디 있으니까. 어디로 좀 이동 좀 해주세요 또는 뭐 제가 직원을 그쪽으로 보낼께요 뭐 어쨌든 그거는 뭐 현재 상황에 따라서,"
피해자,네.
사기범,"어 만들어 드릴 테니까 고건 걱정하지 말으, 않으셔도 되고,"
피해자,네.
사기범,뭐 여튼 요런 식으로 이제 업무 보시면 되니까 하는데 뭐 간혹 이제 창구 직원이 이제 뭐 뭐 이렇게 이렇게 좀 뭐 꼬치꼬치 캐물을 때도 있고 있어요. 그러면 이거는 뭐 사실 OOO께서 직접 업무를 보시는 부분이니까 저희가 뭐 일일이 다 어떻게 해드릴 순 없잖아요. 또 그 분이 뭐라고 물어 볼 순 없는 거고 그니까
피해자,네.
사기범,중요한거는 뭐 요런 작업들을 해서 내일 그니까 월요일이 되겠죠. 월요일날.
피해자,네.
사기범,월요일날 이제 시티 쪽 대출 받는 부분
피해자,네.
사기범,그 부분 작업하는 거를 좀 명시를 좀 해주시고
피해자,네.
사기범,그렇게 좀 업무를 좀 깔끔하게 봐주시면 되는거예요.
피해자,네.
사기범,네. 자 그러면 제가 인제 그 전산 등록을 해드릴 거니까
피해자,네.
사기범,어 최소 최초로 좀 입금이 되면 저한테 한번 전화를 좀 주세요
피해자,"아, 네. 알겠습니다."
사기범,그리고 그 대기 대기하는 시간은 뭐 삼십 분이 될 수도 있고 좀 그러니까 차에서 음악도 좀 들으시면서 그렇게 계시고 그 다음에 개인적인 볼일은 조금 네시 이후에 좀 미뤄놓으시면 좋을 거 같애요
피해자,아 네.
사기범,알 알겠습니다. 전화주세요. 네.
피해자,네.
