Role,Dialogue
고객,000 대학의 공공공이라고 합니다.
상담사,왜 전화 연결이 안 되던가요?
고객,반갑습니다.
상담사,"고객님, 공공보험입니다."
고객,통신 시스템에 치명적인 오류가 발생하여 서비스하지 못했던 점 양해 부탁드립니다.
상담사,쓱 여튼 이게 아닙니다.
고객,다른 것 때문에 연락드렸습니다.
상담사,"깜빡했네요, 감사합니다 고객님."
고객,무슨 일로 연락을 주셨나요?
상담사,시스템이 들어가 보려고 했는데 엊그제 접속이 안 되던데요.
고객,정확한 서비스를 위하여 다시 여쭈어보겠습니다.
상담사,시스템에 접속이 불가능했다는 말씀이십니까?
고객,정확하게 말씀하시는 것 보니 암기력이 상당하시군요.
상담사,응답 감사합니다.
고객,금융사고 관련하여 질문을 드리도록 하겠습니다.
상담사,그렇게 하셔도 됩니다.
고객,감사합니다.
상담사,무엇을 이용하여 시스템에 접근하시려고 하셨나요?
고객,핸드폰으로 접속했습니다.
상담사,브라우저를 이용하여 시스템에 접속하셨나요?
고객,보험사에서 서비스하는 공식 어플리케이션으로 접속하려고 했어요.
상담사,처리하고자 하는 업무가 무엇이었나요?
고객,예시를 들어서 보험 가입 업무입니다.
상담사,보험 상품 가입이에요.
고객,고객님의 시간을 내주셔서 답변해 주신 점 감사합니다.
상담사,사고 관련하여 질문을 모두 끝났어요.
고객,소정의 보상이 있겠지요.
상담사,죄송합니다.
고객,"고객님, 보상에 대해서는 확정되지 않아 말씀드릴 수 없습니다."
상담사,사실이에요.
고객,어쩔 수 없는 점 양해 부탁드립니다.
상담사,이상 상담은 공 공 공이에요.
고객,
