Role,Dialogue
고객,"000 전세자금대출 금리 문의 좀 드려요 네, 어떤 문의이신가요?"
상담사,금리가 얼마죠?
고객,신혼부부이신가요?
상담사,아닙니다.
고객,일반 기본금리는 연 이점일 퍼센트에서 이점칠 퍼센트입니다.
상담사,금리가 정해져 있는 게 아니에요.
고객,"네, 국토교통부 고시 변동금리를 따르고 있습니다."
상담사,연.
고객,이점일 퍼센트에서 이점칠 퍼센트로 범위가 있는 이유가 있어요.
상담사,소득수준과 임차보증금을 기준으로 정해집니다.
고객,소득이 적고 빌리는 임차보증금이 적으면 금리가 낮아져요.
상담사,"네, 맞습니다."
고객,더 낮추는 방법도 있어요.
상담사,"네, 조건에 맞는 우대금리를 선택하여 금리를 낮추실 수 있습니다."
고객,우대금리는 어떤 게 있죠?
상담사,"기초생활수급자, 한부모 가구 등 여러 가지가 있어 대출 전 반드시 상품설명서를 확인해 보시는 게 좋습니다."
고객,중복 적용이 가능해요.
상담사,일부 우대금리는 중복 적용이 가능한 것도 있습니다.
고객,우대금리를 최대한으로 적용하면 금리는 얼마까지 내려가요?
상담사,우대금리는 최대 연 2.
고객,"0%로 적용이 가능하며, 적용금리가 연 일 퍼센트 이하인 경우 연 일 퍼센트로 적용됩니다."
상담사,
