Role,Dialogue
고객,000 전세자금대출 받으려고 하는데요.
상담사,금리가 어떻게 되는지 좀 알려주세요.
고객,"네, 신혼부부세요?"
상담사,"네, 맞습니다."
고객,신혼부부는 뭐가 달라요?
상담사,좀 더 금리가 낮습니다.
고객,"아, 그렇고요."
상담사,금리는 어떻게 되죠?
고객,기본금리는 연 1.
상담사,2%에서 2.
고객,1 퍼센트입니다.
상담사,금리는 어떻게 결정되는 거예요?
고객,소득수준과 임차보증금을 기준으로 정해집니다.
상담사,소득수준은 부부의 소득합산 맞죠?
고객,"네, 맞습니다."
상담사,저희 부부 소득수준이 4천만 원이 조금 안되면 금리는 어떻게 되죠?
고객,임차보증금은 얼마나 대출받으셨나요?
상담사,1억 5천만 원이 안 될 것 같습니다.
고객,말씀해 주신 소득수준과 임차보증금으로 예상되는 금리는 연 1.
상담사,7 퍼센트입니다.
고객,더 낮추는 방법도 있어요.
상담사,혹시 미성년 자녀가 있으시나요?
고객,1명 있습니다.
상담사,그러시다면 연 0.
고객,3 퍼센트의 우대금리를 적용할 수 있습니다.
상담사,
