Role,Dialogue
고객,000입니다.
상담사,전화가 안 돼서 다시 전화했어요.
고객,어서 오세요.
상담사,통신사에서 저희 회선 문제로 인하여 서비스를 제공하지 못하였었습니다.
고객,아니지 이걸 물으려고 한 게 아니라 다른 질문 사항이 있어서 연락드렸는데요.
상담사,감사합니다.
고객,어떤 문의사항이 있으신가요?
상담사,엊그제 접속이 안 됐어요.
고객,도대체 무슨 문제입니까?
상담사,다시 한번 질문 드리겠습니다.
고객,시스템의 접속이 불가능했다는 말씀이십니까?
상담사,정확하게 말씀하시는 것 보니 암기력이 상당하시군요.
고객,이번 사건과 관련하여 질문을 드리도록 하겠습니다.
상담사,아무렴 어톱니까 본인만 파악할 수 있다면 무슨 기기를 사용하여 시스템에 접근하셨나요?
고객,핸드폰으로 접속했어요.
상담사,무슨 서비스를 통해서 접속하셨나요?
고객,종합 보험 조회 사이트를 이용하여 접속하려고 했어요.
상담사,"네, 하고 싶으시던 업무가 무엇이었나요?"
고객,예를 들어서 보험 가입 업무입니다.
상담사,보험 상품 가입이에요.
고객,어려운 사고 관련한 질문을 모두 끝났어요.
상담사,소정의 보상이 있겠지요.
고객,"죄송합니다, 고객님."
상담사,보상에 관련되신 지침이 따로 없습니다.
고객,정말 이것을 말이라고 지금 말씀하시는 겁니까?
상담사,다시 죄송스러운 말씀을 드립니다.
고객,공공보험 상담은 공공공이었습니다.
상담사,이상 연결을 종료하도록 하겠습니다.
고객,
