Role,Dialogue
고객,10만 원권 수표 한 장을 잃어버렸는데요.
상담사,분실신고 도와드릴까요?
고객,그 전에 질문 좀 드릴게요.
상담사,"네, 무엇을 안내해 드릴까요?"
고객,재발행하려면 적어도 삼 개월 걸린다는데 맞아요.
상담사,"네, 맞습니다."
고객,법원에서 공시 최고 신청을 하여 채권 판결을 받는데 삼 개월이 걸립니다.
상담사,돈이 이삼만 원 든다는 것도 맞아요.
고객,"네, 맞습니다."
상담사,수수료와 송달료 등이 들어갑니다.
고객,누군가 주워서 쓰는 건 억울하긴 한데 10만 원이 작은 돈은 아니지만 그것 때문에 휴가 내서 경찰서랑 법원을 왔다 갔다 하기가 좀 번거로우실 수 있습니다.
상담사,교통까지 생각하면 5만 원 다시 받는 건데 그래야 하는데 고민이네요.
고객,잘 생각해 보시고 고객님께서 원하시는 방법을 선택하시면 됩니다.
상담사,차라리 누군가 주어서 돌려주면 사례금으로 5만 원 드리는 게 나을 거 같은데 네 분실 신고만 하고 법원에 공시 최고 신청은 안 해도 되나요?
고객,가능은 하지만 공시 최고 신청을 하지 않으시면 은행에서는 거래정지를 해제하여 누군가 현금화할 수도 있습니다.
상담사,그러면 어쩔 수 없죠.
고객,뭐 내 고객님께서 원하시는 방법을 선택하시면 됩니다.
상담사,
