Role,Dialogue
고객,ATM 기로 출금할 때 한도가 있는 거예요?
상담사,"네, 있습니다."
고객,한도가 어떻게 되지요?
상담사,현금으로 출금하시나요?
고객,그럼 다른 걸로 출금할 수 있어요.
상담사,수표로도 출금할 수 있습니다.
고객,"아, 그렇군요."
상담사,현금으로 출금할 겁니다.
고객,카드나 통장으로 출금하십니까?
상담사,네 통장으로 할 겁니다.
고객,일회 출금이 가능한 금액은?
상담사,100만 원입니다.
고객,1일 출금이 가능한 총액은 600만 원입니다.
상담사,"통장으로 600만 원 뽑고, 추가로 카드로 600만 원 더 뽑을 수 있을까요?"
고객,아닙니다.
상담사,계좌당 하루 출금 가능한 금액이 600만 원입니다.
고객,그렇군요.
상담사,600만 원을 뽑을 때 6번 안에 뽑아야 하는 건가요?
고객,횟수는 제한이 없습니다.
상담사,혹시 다른 은행 카드로 출금해도 한도는 동일해요.
고객,해당 은행 한도가 적용됩니다.
상담사,다른 은행 한도가 더 높으면 더 높은 금액을 뽑을 수 있어요.
고객,"네, 맞습니다."
상담사,
