Role,Dialogue
고객,ATM 기의 이용한도가 정해져 있나요?
상담사,정해져 있습니다.
고객,얼마인가요?
상담사,1일 출금 한도는 육백만원입니다.
고객,통장이 없을 경우도 육백만원인가요?
상담사,무통장인 경우는 백만원입니다.
고객,백만원밖에 안되는군요.
상담사,ATM 기에서 일회 육백만원 전부 출금이 가능한가요?
고객,아닙니다.
상담사,일 회 출금 가능 금액은 100만 원씩 6번 출금 가능하십니다.
고객,오늘 600만 원을 출금하면 내일도 600만 원을 출금할 수 있나요?
상담사,하루에 600만 원 제한이며 다음날 다시 600만 원 출금이 가능합니다.
고객,아무은행 ATM 으로도 가능한 건가요?
상담사,해당 은행 카드로.
고객,해당 은행 지점의 ATM 에서 사용 가능한 한도입니다.
상담사,ATMG 에서 통장이나 카드로 이체 가능 금액은 얼마인가요?
고객,일회에 육백만원입니다.
상담사,육백만원만 이체 가능해요.
고객,1일 이체 한도는 삼천만원입니다.
상담사,오회 이체 가능하군요?
고객,알겠습니다.
상담사,일년동안 거래가 없었는데 괜찮나요?
고객,1년 동안 거래를 하지 않은 계좌는 1일 700만 원 한도입니다.
상담사,
