Role,Dialogue
고객,ATM 출금 한도가 하향되었는데 왜 그런가요?
상담사,대포통장 근절 대책의 일환으로 시행되고 있는 제도가 있습니다.
고객,그게 무엇인가요?
상담사,장기 미사용 계좌 인출 한도 하향 제도와 장기 미이체계좌 이체 한도 하향 제도가 있습니다.
고객,장기 미사용 계좌 제도는 무엇인가요?
상담사,"일년간 자동화 기기에서 입금, 출금, 이체 등의 거래를 하지 않는 계좌에 대하여 자동화 기기 1일 인출 한도가 하향됩니다."
고객,얼마나 하향되나요?
상담사,600만 원에서 70만 원으로 하향되십니다.
고객,한도 복원이 가능한가요?
상담사,네 가능하며 가까운 영업점을 본인이 직접 방문하여 한도 복원 가능합니다.
고객,장기 미이체 계좌 제도는 무엇인가요?
상담사,1년 간 자동화 기기에서 이체 실적이 없는 계좌에 대하여 자동화 기기 1일 이체 한도가 하향 조정됩니다.
고객,얼마나 하향되나요?
상담사,3천만 원에서 70만 원으로 하향됩니다.
고객,이것 또한 한도 복원이 가능한가요?
상담사,"네, 가까운 영업점을 본인이 직접 방문하셔서 한도 복원 가능하십니다."
고객,네 도움 주셔서 감사합니다.
상담사,네 더 궁금하신 사항이 있으신가요?
고객,아닙니다.
상담사,"네, 고객님 좋은 하루 되세요."
고객,
