Role,Dialogue
고객,ATMCD 기기로 현금 출금을 할 수 있나요?
상담사,"네, 고객님 현금 인출 가능합니다."
고객,카드가 없는데 통장으로 현금 인출을 할 수 있을까요?
상담사,네 통장으로 입출금이 가능하도록 되어 있다면 현금 인출이 가능합니다.
고객,체크카드와 현금 인출이 가능한 카드 있나요?
상담사,"네, 고객님."
고객,체크카드에 현금 인출이 가능하도록 등록이 되어 있다면 한 개의 카드로 가능합니다.
상담사,고객님께서 가지고 계신 카드가 있으신가요?
고객,입출금 통장만 있습니다.
상담사,출금 가능하도록 카드 신청을 하려고 하는데 어디서 신청할 수 있을까요?
고객,가까운 은행에 방문하시어 카드 신청하면 됩니다.
상담사,카드 신청할 때 시간이 오래 걸릴까요?
고객,지점마다 기다리는 시간이 다르기 때문에 정확하게 말씀드리기 힘듭니다.
상담사,비밀번호를 3번 잘못 눌렀을 경우 어떻게 해야 하나요?
고객,신분증을 지참 후 가까운 은행에 방문하시면 됩니다.
상담사,Atmcd 기기도 1일 인출 한도가 있나요?
고객,"네, 고객님 1일 인출 한도가 있습니다."
상담사,일회 현금인출 시 한도가 있을 수 있나요?
고객,"네, 고객님 일회인출 시 한도가 있습니다."
상담사,"고객님, 더 궁금한 사항은 없으신가요?"
고객,"네, 없습니다."
상담사,감사합니다.
고객,
