Role,Dialogue
고객,OTP 를 어디다 두었는지 도대체 기억이 안 나는데 어떻게 하죠?
상담사,네 분실 신고를 도와드리도록 하겠습니다.
고객,"네, 고객님 명의로 발급된 otp 는 한 개이시네요?"
상담사,"네, 맞습니다."
고객,해당 otp 를 분실 신고하였습니다.
상담사,은행에 방문하셔서 재발급 받으시면 됩니다.
고객,제가 분실한 otp 가 범죄에 사용될 수 있나요?
상담사,"계좌번호와 비밀번호, 공인인증서 등이 함께 노출된 것이 아니기 때문에 범죄로 이어지긴 쉽지 않습니다."
고객,OTP 만 분실한 거니까 괜찮다는 거죠?
상담사,"네, 맞습니다."
고객,그럼 지금 인터넷뱅킹을 이용해 계좌이체를 할 순 없겠네요?
상담사,"네, 맞습니다."
고객,혹시 몰라 돈을 다른 은행 계좌로 옮겨두고 싶은데 걱정되시면.
상담사,인터넷 뱅킹이 아닌 다른 이체 수단을 신청하신 게 있다면 이용하시면 됩니다.
고객,어떤 게 있죠?
상담사,통장으로 ATM 기에서 이체하실 수도 있고 ARS 로도 가능합니다.
고객,신청을 했는지 잘 모르겠어요.
상담사,그러시다면 속히 은행에 방문하여 otp 재발급 및 이체를 하시면 될 것 같습니다.
고객,"네, 그럴게요."
상담사,처리 감사합니다.
고객,"네, 감사합니다."
상담사,
