Role,Dialogue
고객,Otp 발생기 분실했는데 어떻게 하나요?
상담사,"개인이신가요, 기업인이신가요?"
고객,개인이요.
상담사,개인 고객님은 분실 신고하시고 영업점 방문하셔서 재발급 받으셔야 합니다.
고객,분실 신고하면 더 이상 그 otp 발생기는 사용 못하는 거죠.
상담사,네 전 금융기관 전파되어 분실 신고된 otp 발생기는?
고객,이용 불가합니다.
상담사,분실 신고 해지는 가능한가요?
고객,네 분실 신고 후 잦으신 경우에는 분실 신고 해제 후 이용하실 수 있습니다.
상담사,해지하는 방법은 신고하는 거랑 동일한가요?
고객,해제는 각 금융기관에 문의해 주시기 바라며 우리은행은 신분증 준비하신 후 영업점 방문해 주셔야 합니다.
상담사,본인만 해지할 수 있나요?
고객,대리인 가능한가요?
상담사,본인만 신청 가능합니다.
고객,그렇군요.
상담사,재발급 비용이 드나요?
고객,"네, 우리은행 재발급 비용은 토큰형 3000 원, 가디형 1만 원이며 은행마다 상이한 걸로 알고 있습니다."
상담사,"네, 알려주셔서 감사합니다."
고객,OTP 발생기 재발급 후에.
상담사,다른 금융기관에서 이용할 때 이용 등록을 별도로 해야 되나요?
고객,"네, 이용하실 각 금융기관별로 이용 등록을 하셔야 합니다."
상담사,등록 방법은요?
고객,등록 방법은 각 금융기관마다 상이하기 때문에 각 금융기관에 문의해 주시기 바랍니다.
상담사,
