Role,Dialogue
고객,Otp 카드를 분실하였습니다.
상담사,분실신고와 재발급 신청을 어떻게 하면 되나요?
고객,대표 전화 거신 후 고객센터 문의와 인터넷 고객센터 그리고 영업점에서 직접 분실 신고하시는 방법도 가능합니다.
상담사,제가 직접 해야 되는 거지요.
고객,"네, 본인이 직접 하셔야 합니다."
상담사,다른 은행도 이 otp 를 등록해서 사용 중인데 거기에도 해야 될까요?
고객,하나의 대표 otp 로 사용 중이시면 해당 은행에만 하시면 됩니다.
상담사,분실 등록하면 지금 서비스 이용은 불가한 거죠?
고객,네 연결된 은행 서비스는 모두 사용이 불가하시게 됩니다.
상담사,재발급 신청하는 경우 수수료나 비용이 발생하나요?
고객,"네 재발급 수수료는 5000 원입니다만, vip 고객은 경우 무료 제공되니 확인해 보시는 것이 좋습니다."
상담사,"아, 그렇군요."
고객,혹시라도 otp 를 다시 찾으면 다시 등록해서 사용 가능한가요?
상담사,분실 신고 처리 이후에는 사용이 불가합니다.
고객,다시 등록해도 된다는 건가요?
상담사,영업점 방문하셔서 분실해제 부분 재등록하셔야 됩니다.
고객,그렇군요.
상담사,그냥 새것을 받아서 사용하는 것이 보다 용이하겠군요?
고객,네.
상담사,분실 신고와 함께 재발급 요청하시는 것이 보다 빠를 수 있습니다.
고객,"네, 알겠습니다."
상담사,"네, 기타 문의하실 사항이 있으신가요?"
고객,아니요.
상담사,고맙습니다.
고객,
