Role,Dialogue
고객,가상 계좌 입금은 어떻게 하는 건가요?
상담사,가상 계좌란 카드 대금 결제를 위해 카드사가 회원별로 부여한 입금 전용 계좌 카드 대금으로 즉시 입금 반영 처리됩니다.
고객,자동화 기기에서만 가능한가요?
상담사,"인터넷 뱅킹, 모바일 뱅킹, 무통장 입금 자동화 기기에서 이체를 통해."
고객,가상 계좌로 입금 가능합니다.
상담사,혹시 자동화 기기에서 가상 계좌로 입금할 시 수수료가 붙나요?
고객,은행에 따라 가상 계좌 입금 시 해당 은행이 부과하는 별도의 송금 수수료를 부담해야 하는 경우도 있습니다.
상담사,입금할 때 카드 발급할 때 명의자 이름으로 입금해야 하는 건가요?
고객,가상 계좌로 입금 시 예금주가?
상담사,회원 본인 성명으로 조회되는지 반드시 확인 바랍니다.
고객,이용한 결제 대금을 선결제를 했어요.
상담사,혹시 선결제한 이용권은 청구서에서 제외 시킬 수 있나요?
고객,"네, 고객님 이용권별 선결제 하신 부분은 제외 시킬 수 있습니다."
상담사,제가 편한 날에 신청하면 되는 건가요?
고객,명세표 미표기는 청구작업 이전 일시불 단기 카드 대출 현금서비스 상품에 한하여 이용 내역별로 완납하실 경우에만 미표기 처리가 가능합니다.
상담사,혹시 할부 거래한 것도 가능하나요?
고객,할부 거래에 대해 이용대금 명세서상 미표기를 원하실 경우 당사 상담 센터로 연락 주시기 바랍니다.
상담사,청구서를 받고 나서도 미포기를 할 수 있나요?
고객,이용대금영세서를 수령하신 이후 청구작업 이후 미표기 처리를 원하시는 경우 당사 상담 센터로 연락해 재발행 요청하시길 바랍니다.
상담사,미표기된 청구서를 혹시 팩스로 받아볼 때도 미표기로 받아볼 수 있나요?
고객,미표기가 요청된 거래의 경우.
상담사,이용대금 명세서를 재발행하거나 팩스 발생 시에도 미표기 상태로 발송됩니다.
고객,그럼 홈페이지에서도 미표기로 볼 수 있나요?
상담사,홈페이지 이용 내역에서도 미표기를 원하실 경우 당사 상담 센터로 연락해 주시기 바랍니다.
고객,
