Role,Dialogue
고객,거래 금액이 큰 금액이라 표 수표를 발행해야 하는데 만약 수표를 분실할 경우에는 어떻게 해야 하나요?
상담사,절차가 복잡하나 설명드려 보겠습니다.
고객,"네, 부탁드립니다."
상담사,우선은 은행에 방문하셔서 분실 신고를 하셔야 합니다.
고객,분실 신고할 때 수표 번호가 있어야 하나요?
상담사,발행하신 날짜와 금액으로 찾을 수 있으나.
고객,수표 번호를 알고 계시다면 더욱 좋습니다.
상담사,메모해 두어야겠네요.
고객,그다음 은행에서는 수수료를 받고 해당 수표를 사용하지 못하도록 지급정지 처리를 합니다.
상담사,은행에서 미지급 증명서를 발급해 드리면 경찰서에 가서 분실 신고를 하셔야 합니다.
고객,그렇군요.
상담사,그럼 경찰서에서도 분실 신고한 확인증을 만들어 드리는데 이 두 서류를 가지고 법원에 가셔서 공시 최고를 하셔야 합니다.
고객,법원까지 가는군요?
상담사,"네, 다시 은행에 공시 최고 신청 접수 증명원을 제출해 두시고 공시 최고 절차를 거쳐 수표의 실효를 선고하고 상실자에게 제권 판결이 나오는데요."
고객,채권 판결문을 은행에 가져가시면 그 수표 금액만큼 다시 돌려받으실 수 있습니다.
상담사,채권 판결이 뭔가요?
고객,네 상실자에게 자격을 회복시키는 판결입니다.
상담사,"네, 잘 알았습니다."
고객,상세한 안내 감사드립니다.
상담사,
