Role,Dialogue
고객,거래 내역 확인 가능한가요?
상담사,법인 통장이거든요.
고객,"네, 확인 가능합니다."
상담사,일 년치에 대한 거래 내역을 받으려고 하는데 그것도 가능한가요?
고객,가능하긴 한데요.
상담사,법인 명의의 통장이라서 영업점에 방문하셔야 합니다.
고객,방문 안 하고 받을 수 있는 방법은 없을까요?
상담사,"회사, 은행 거래 인감을 잃어버려서요."
고객,방문을 안 하시고 거래 내역을 받아 보실 수는 없고요.
상담사,영업점에서 거래 인감부터 새로 등록하시고 통장 거래 내역을 서면으로 받아보시면 됩니다.
고객,그러면 제가 가지고 가야 할 서류 같은 게 있나요?
상담사,대표자가 오시나요?
고객,대리인이 오시나요?
상담사,그거에 따라서 서류가 달라지거든요.
고객,대리인이 갈 거예요.
상담사,대리인이 오실 경우에는.
고객,대리인 인감과 법인 인감을 준비해 오시면 됩니다.
상담사,대리인 인감도 있어야 되나요?
고객,법인 통장에 거래 인감 변경에 관한 건이라서 대리인 인감도 필요합니다.
상담사,인감이 2년 전 거 있는데 이거 들고 가도 되죠.
고객,변경된 건 없거든요.
상담사,인감에 변경된 사항이 없더라도 유효기간은 발급일로부터 삼 개월입니다.
고객,재발급 받아야 되겠네요?
상담사,"네, 새로 발급받으셔서 법인 인감하고 같이 가지고 오시면 됩니다."
고객,신분증도 필요하죠.
상담사,네 신분증도 가지고 오셔야 되고요.
고객,사원증 같은 건 안됩니다.
상담사,제가 출장 갔다 와서 여권은 있는데 주민등록증이 없어요.
고객,이럴 경우 어떻게 하죠?
상담사,여권도 됩니다.
고객,
