Role,Dialogue
고객,거래내역 확인하는 방법 문의드려도 되나요?
상담사,"네, 어떤 게 궁금하신가요?"
고객,거래내역을 확인하고 싶은데 어떻게 해야 하죠?
상담사,인터넷 뱅킹 사용 가능하신가요?
고객,인터넷 뱅킹 사용하고 있어요.
상담사,그러면 인터넷 뱅킹 사용으로 안내해 드릴까요?
고객,"네, 알려주세요."
상담사,나의 계좌 확인하기 메뉴 선택해 주세요.
고객,네 선택했어요.
상담사,원하시는 계좌를 선택하시면 아래쪽에 거래내역이 보여집니다.
고객,이게 그럼 제가 삼년전 거를 확인하고 싶은데 그것도 가능한가요?
상담사,네 거래내역 기간 선택하는 곳 보이시나요?
고객,네 있네요.
상담사,일주일로 되어 있어요.
고객,그 부분을 3년 전 날짜로 세팅하시면 가능하십니다.
상담사,입출금 내역이 다 확인되는 거죠?
고객,"네, 한번에 확인도 가능하시고 나눠서 확인도 가능하십니다."
상담사,"아하 네네, 그럼 제가 1번 해볼게요."
고객,"네, 고객님, 다른 문의 사항은 없으신가요?"
상담사,"네, 괜찮습니다."
고객,"네, 감사합니다."
상담사,
