Role,Dialogue
고객,결제 방법을 통장인출로 바꿨는데 통장에서도 인출되고 카드도 결제됐는데 어떻게 해야 할까요?
상담사,"네, 이중 결제가 됐네요."
고객,그럴 경우 결제일이 지나서 확인 후에 다시 입금 처리됩니다.
상담사,이 중 결제가 확인되면 환급되죠.
고객,네 결제일이 지나서 환불이 가능합니다.
상담사,이 중 결제가 된 이유가 뭐죠?
고객,자동이체로 납입하셔서 그렇게 된 것 같습니다.
상담사,아직 자동이체로 되어 있어요.
고객,바꿨는데 처음 가입하실 때 자동이체로 결제 방법을 선택하셔서 아직 정확한 처리가 이루어지지 않은 것 같아요.
상담사,이중결제 안 되게 하려면요?
고객,납입 방법 변경 신청하시면 됩니다.
상담사,납입 방법 변경했는데요.
고객,변경 일자가 문제인가요?
상담사,카드사마다 결제일이 달라 혼동이 발생됐을 수 있습니다.
고객,확인되면 환불 또는 원인 안내 예정입니다.
상담사,납입 주기가 뭐예요?
고객,일시납 연납 지정 개월 월납 등이 있습니다.
상담사,납입 방법에는 은행 송금 지로 납부 자동이체.
고객,신용카드 결제 등이 있어요.
상담사,다음 달에 이 계좌인출로 납입되는 거죠?
고객,"네, 고객님 혹시 모르니 카드사 확인해 볼게요."
상담사,"네, 너무 걱정마세요 고객님."
고객,
