Role,Dialogue
고객,계좌번호를 잘못 눌러서 이체를 잘못했어요.
상담사,어쩌면 좋지요?
고객,일단 짐착하시고 마음 아프시지만 은행에서 최선을 다해 노력하여 이 상황을 도와드려요.
상담사,네 이체한 돈을 어떻게 돌려받을 수 있죠?
고객,상대방 은행에 연락하기 앞서서 고객님의 이체 피력을 파악해야 합니다.
상담사,고객님의 이체하신 계좌의 번호가 어떻게 되시나요?
고객,제가 송금한 계좌번호는 공공공공공공공 다시 공공공공공 다시 공공공공공입니다.
상담사,다음 고객님 계좌주는 어떻게 되십니까?
고객,계좌를 식별하기에 필요한 조치입니다.
상담사,송금을 실행한 계좌 명칭은 공공공인 걸로 잘 알고 있습니다.
고객,다음으로 비밀번호를 입력하는 단계인데 키패드 또는 숫자 버튼을 입력하여.
상담사,입력하시면 됩니다.
고객,제가 프로그램에 따라서 입력하겠습니다.
상담사,바로 비밀번호 검증 프로그램과 연결시켜 드리도록 하겠습니다.
고객,비밀번호를 눌렀는데 됐나요?
상담사,확인되었습니다.
고객,고객님 다음 과정입니다.
상담사,잘못된 글의 시기가 어떻게 되시나요?
고객,30분 전에 송금했었습니다.
상담사,고객님의 계좌를 검색하여 조회 사실을 확인하였습니다.
고객,내역이 여러 건이 발견되어 추가 확인이 필요할 것 같습니다.
상담사,얼마든지요.
고객,무슨 정보가 필요하신가요?
상담사,고객님께서 잘못 이치하신 상대방의 은행명을 알려주셔야 합니다.
고객,마지막에 상대방 은행과 협업을 해야 하기 때문입니다.
상담사,잠시만요.
고객,찾아보니 공공은행입니다.
상담사,다음으로는 상대방 계좌의 계좌번호가 어떻게 되는지 말씀해 주실 수 있으십니까?
고객,잠시만요 다시 찾아볼게요.
상담사,찾았습니다.
고객,공 공 공입니다.
상담사,빠르게 알려주신 점 매우 감사합니다.
고객,이 상황을 해결하기 위하여 상대방 은행에 연락하여 찾아보도록 하겠습니다.
상담사,좋은 서비스 되셨길 바라며.
고객,이상 공공공이었습니다.
상담사,
