Role,Dialogue
고객,계좌의 입출금 거래 내역을 SMS 로 받을 수 있나요?
상담사,"네, 가능하십니다."
고객,어떻게 할 수 있나요?
상담사,SMS 입출금 통지서를 신청하시면 문자로 받으실 수 있습니다.
고객,공짜로 신청할 수 있나요?
상담사,SMS 입출금 통지서 서비스는 유료 서비스로 수수료가 부과됩니다.
고객,수수료는 얼마인가요?
상담사,수수료는 월정액과 건별 부과형 중 선택하실 수 있습니다.
고객,월정액형은 무엇인가요?
상담사,월 정액형은 매달 900 원씩 부과되십니다.
고객,건별 부과형은 얼마인가요?
상담사,건별 부과형은 건당 20 원씩 부과되십니다.
고객,할인받을 수 있나요?
상담사,서비스 신청 계좌가 우리 닷컴 통장.
고객,"우리 AMA 전자 통장, 우리 꿈 통장 등은 월정액형으로 가입 시에만 수수료가 감면되십니다."
상담사,몇 퍼센트 감면되나요?
고객,수수료 50% 감면됩니다.
상담사,수수료가 어떻게 부과되나요?
고객,수수료는 신청 계좌별 휴대폰별로 부과됩니다.
상담사,"네, 감사합니다."
고객,"네, 고객님 좋은 하루 되세요."
상담사,
