Role,Dialogue
고객,공 공 골든 라이프 연금저축 신탁 안정형은 무엇인가요?
상담사,개인의 안정적인 노후 생활을 위해 일정 기간 동안 적립한 후 신탁 원리금을 연금으로 수령하는 불특정 금전 신탁입니다.
고객,신탁재산 운용은 어떻게 되나요?
상담사,주식 및 주식 관련 파생상품 신탁재산의 십 퍼센트 이내 대출.
고객,"채권 및 채권 관련 파생상품, 유동자산 및 기타자산 90% 이상입니다."
상담사,적립 기간은요?
고객,5년 이상 10005 15세 이상이 되는 때까지입니다.
상담사,연금 기간은요?
고객,적립 기간 5년 이상 10005 15세 요건이 충족한 후부터 10년 이상입니다.
상담사,세입 공제는요?
고객,해당 연도 순 납입 금액의 13.
상담사,2 퍼센트입니다.
고객,가입 대상은요?
상담사,국내 거주자인 개인입니다.
고객,신탁 기간은요?
상담사,적립 기간 플러스 연금 지급 기간입니다.
고객,신탁 금액은 어떻게 되나요?
상담사,매회 만 원 이상 연간 천팔백만 원에서 자유롭게 적립 가능합니다.
고객,중도 해지하면요.
상담사,부득이한 경우 연금 소득세만 70세 미만은 5.
고객,5 퍼센트입니다.
상담사,그럼 70세 이상은요?
고객,4.
상담사,4 퍼센트입니다.
고객,
