Role,Dialogue
고객,공 공 비과세 파도타기 시스템 주식형 신탁은 무엇인가요?
상담사,가입 후 1년 이상 경과 시 비과세입니다.
고객,자동 분할 매매 시스템에 의한 수익 극대화 추구합니다.
상담사,주가 하락 시 손실 리스크를 축소합니다.
고객,신탁재산 운용은 어떻게 되나요?
상담사,주식 등 신탁 기간 동안 주식 등 보유 비율에.
고객,평균의 60% 이상 파생상품 운영 가능합니다.
상담사,가입 대상은요?
고객,소득세법상 거주자입니다.
상담사,신탁 기간은요?
고객,매 신탁 기간별 수탁일로부터 해지일까지입니다.
상담사,신탁금액은요.
고객,100만 원 이상 8천만 원 이하 원 단위까지 가능합니다.
상담사,세금우대 내용은요?
고객,해당사항 없습니다.
상담사,중도 해지 수수료 있습니까?
고객,매 수탁 건별로 계산합니다.
상담사,70% 이상은 언제부터 받습니까?
고객,수탁일로부터 삼 개월 미만입니다.
상담사,비과세 적용되나요?
고객,네 비과세 적용됩니다.
상담사,예금자 보호되나요?
고객,예금보호되지 않습니다.
상담사,
