Role,Dialogue
고객,"공 공 실버플랜 신, 노후생활연금신탁 채권형은 무엇인가요?"
상담사,고객의 라이프스타일 및 자금운용 계획에 따라서 디자인이 가능한 맞춤형 상품입니다.
고객,예금자보호 되나요?
상담사,"네, 보호됩니다."
고객,상품의 특징이 있나요?
상담사,안정적인 수익추구와 일정금액 이상 가입 시.
고객,보험 가입해 주는 피전형 상품입니다.
상담사,신탁 운용은 어떻게 되나요?
고객,채권 채권 관련 파생상품 대출 유동성 자산의 100% 이내입니다.
상담사,대출은요?
고객,신탁 자산의 50% 이내입니다.
상담사,가입 대상은요?
고객,10010 8세 미만의 개인입니다.
상담사,위탁자인 경우인가요?
고객,"네, 수익자는 다릅니다."
상담사,위탁자 본인 또는 위탁자가 지정하는 개인입니다.
고객,신탁기간은요?
상담사,적립기간은 1년 이상 연 단위로 수익자의 연령이 10043 이상이 되는 때까지로 합니다.
고객,연금 지급 기간은요?
상담사,수익자의 연령이 만 사십세가 경과하고 적립 기간이 중요한 때부터 5년 이상 연 단위.
고객,
