Role,Dialogue
고객,공공보험 콜센터 맞나요?
상담사,"네, 고객님 공공보험 콜센터 맞습니다."
고객,"네, 반갑습니다."
상담사,어떤 걸 도와 드릴까요?
고객,보험 관련 궁금한 내용이 있었어요.
상담사,"네, 문의하시면 됩니다."
고객,금융거래회원과 일반회원은 어떤 차이가 있나요?
상담사,일반회원은 금융거래내역과 관계없이 누구든지 가입할 수 있습니다.
고객,회원가입하면 어떤 혜택이 있나요?
상담사,"회원가입 시 이벤트 참여 일대일 보상 상담, 제휴 서비스 등을 이용할 수 있습니다."
고객,일반 회원이 이용할 수 있는 서비스는요?
상담사,"일반 회원이 이용 가능한 서비스뿐 아니라 계약 조회 변경, 보험금 청구, 증권명서 발급, 보험계약 대출 등의."
고객,인터넷 창구 서비스를 이용할 수 있습니다.
상담사,알림 서비스도 가능한가요?
고객,또한 계약 내용 만기 알림 등의 이메일 서비스도 받으실 수 있습니다.
상담사,금융거래회원은 따로 가입하여야 하나요?
고객,금융거래회원은 현대해상의 보험 가입 등의 금융거래 내역이 있는 고객만.
상담사,가입할 수 있습니다.
고객,"네, 금융거래 내역이 있어야 되는군요?"
상담사,"네, 그렇습니다."
고객,"네, 잘 알았습니다."
상담사,"네, 고객님 좋은 하루 되세요."
고객,
