Role,Dialogue
고객,공공보험이죠?
상담사,"네, 고객님 공공보험 상담원 000입니다."
고객,"네, 수고 많으십니다."
상담사,무엇을 도와 드릴까요?
고객,보험 관련 궁금한 내용이 있었어요.
상담사,네 문의하시면 됩니다.
고객,거래내역 조회 시 분배금.
상담사,직업이라고 조회되는 것은 무엇인가요?
고객,펀드는 1년 에 한 번씩 펀드 결산을 통해 기준 가격을 다시 천 원부터 시작하고 계산된 수익을 분배합니다.
상담사,그걸 분배금 지급이라고 하나요?
고객,"네, 그렇습니다."
상담사,분배금이라고 합니다.
고객,그거로 무엇을 하나요?
상담사,규약에 따라 재투자 또는 현금으로 수령하실 수 있습니다.
고객,조회할 수 있나요?
상담사,계좌개설 시 재투자로 약정하신 경우 거래내역에서 분배금 지급으로 조회됩니다.
고객,그렇습니까?
상담사,"네, 그렇습니다."
고객,그런 다음 어떻게 되나요?
상담사,분배금 지급으로 인해 기준 가격은 다시 천 원으로 조정되고 분배금만큼 다시 재매입하여 잔고자 수는 증가합니다.
고객,"네, 좋은 거 배웠습니다."
상담사,"네, 고객님 오늘도 좋은 하루 되세요."
고객,
