Role,Dialogue
고객,"공공보험이지요 네, 고객님 공공보험 상담원 000입니다."
상담사,"네, 수고가 많으십니다."
고객,무엇을 도와드릴까요?
상담사,보험 관련 궁금한 내용이 있어서요.
고객,네 문의하시면 됩니다.
상담사,신탁 상품의 잔고 내역을 확인하려면 어떻게 해야 합니까?
고객,혹시 신탁 상품 가입 시 신탁 계약서 작성하셨지요?
상담사,그렇겠지요.
고객,매월 말 기준으로 신탁 재산 운용 현황을 통보하게 되어 있습니다.
상담사,그걸 기억하고 있나요?
고객,오래돼서 잘 모르실 수도 있습니다.
상담사,그렇겠지요.
고객,아니면 통보를 생략하셨을 수도 있습니다.
상담사,뭐 그럴 수도 있고요.
고객,현황 발급이 가능한가요?
상담사,"네, 영업점 방문이나 온라인으로 발급 가능합니다."
고객,콜센터에서는 안 되나요?
상담사,죄송합니다.
고객,전화로 신청은 가능하지 않습니다.
상담사,방문은요?
고객,고객님이 원하실 경우 가까운 영업점에서 잔고 내역을 발급받으실 수 있습니다.
상담사,요즘 같은 때는 외출하기도 겁나는데 인터넷으로 발급 가능합니다.
고객,그럼 온라인으로 발급하는 방법을 알려주세요.
상담사,우선 저희 홈페이지로 들어오세요.
고객,그럼 다음에는요.
상담사,운용 현황 및 평가 내역을 확인하시면 편리합니다.
고객,모바일 앱으로도 가능하지요?
상담사,"네, 맞습니다."
고객,알겠습니다.
상담사,다른 질문이 있으신가요?
고객,아니요 해결이 됐습니다.
상담사,"네, 고객님 오늘도 좋은 하루 되세요?"
고객,"네, 수고하셨습니다."
상담사,이상 상담원 000 이었습니다.
고객,
