Role,Dialogue
고객,공공장병 내일 준비 적금은 무엇인가요?
상담사,병사 봉급 한도 내에서 복무 기간 동안 목돈 마련을 원하는 병역 의무복무자 맞춤형 상품으로 은행 실적에 따라 추가 우대 이율 제공합니다.
고객,금리는요 연 5.
상담사,5 퍼센트입니다.
고객,상품 유형은요?
상담사,자유 적립식입니다.
고객,가입 기간은요?
상담사,육 개월 이상.
고객,24개월 이하입니다.
상담사,저축 방법은요?
고객,1000 원 이상 20만 원 이하입니다.
상담사,예금담보대출되나요?
고객,계좌 잔액의 95%까지 됩니다.
상담사,재정 지원은 무엇인가요?
고객,"장병, 내일 준비 적금 가입자의 목돈마련 지원을 위해 국가예산으로 지급되는 장려금 단 해지하는 경우."
상담사,은행이 지급하는 이자와는 관련 없음 세제 혜택 있나요?
고객,비과세 저축으로 가입합니다.
상담사,중도해지 이율은요?
고객,최저 영점일 퍼센트입니다.
상담사,가입 대상은요 의무복무 기간이 육개월 이상 남은 경우 장병 내일 준비적금 가입 자격이 확인서 제출일 경우입니다.
고객,
