Role,Dialogue
고객,공공해상에 저축보험을 넣었는데 납입금액보다 잔액이 더 작은 건 왜인가요?
상담사,고객님?
고객,보험증권은 내용은 확인해 보셨나요?
상담사,보험증권에 해당내용이 나와있나요?
고객,"네, 증권에 명시되어 있습니다."
상담사,증권 봐도 잘 모르겠습니다.
고객,공공해상고객센터에 물어봐도 되죠?
상담사,"네, 가능하십니다."
고객,해당 상품의 무엇을 물어봐야 하는가요?
상담사,확정금리인지 변동금리인지 확인하세요 금리 방법에 따라 차이가 크나요?
고객,"네, 다릅니다."
상담사,고정금리가 더 좋은 건가요?
고객,어떤 것이 더 좋을지는 판단하기 힘듭니다.
상담사,변동금리일 경우 납입한 원금보다 해지 환급금이 더 작을 수 있나요?
고객,변동금리 면 현재 원금 손실 위험이 있습니다.
상담사,왜 그런가요?
고객,현재 제로금리 상태이기 때문입니다.
상담사,그럼 지금 해지해야 하는 게 맞는가요?
고객,고객님의 판단이 중요하지만 현재로선 원금 손실이 계속 우려됩니다.
상담사,그런가요.
고객,
