Role,Dialogue
고객,국내에서 사용한 이용대금을 분할 납부하고 싶었거든요.
상담사,분할 납부하시고 싶으시군요?
고객,도와드리겠습니다.
상담사,외국에서 사용한 거 말고 국내 사용에서만 분할 납부되죠.
고객,네 분할 납부는 두 가지가 있어요.
상담사,국내 5만 원 이상 일시불 납부와.
고객,국내 5만 원 이하 일시불 거래 소액 합산 분할 납부가 있습니다.
상담사,국내 5만 원 이상 일시불 분할 납부를 할게요.
고객,사용하신 일시불 거래 건별로 분할 납부 가능하십니다.
상담사,그럼 일시불 거래를 분할 납부로 어떻게 신청하나요?
고객,홈페이지에서 마이 페이지 메뉴에서 신청하실 수 있습니다.
상담사,언제든 신청하면 되는 건가요?
고객,이용 가능 시간은 삼백육십오일 24시간 신청하실 수 있어요.
상담사,그렇군요.
고객,일시불 거래한 걸 분할 납부할 때 최대 몇 개월까지 가능하나요?
상담사,10만 원 이상 일시불 결제 시 최대 십 개월까지 분할 납부 가능하세요?
고객,제 카드 대금 결제일이 매월 십오일인데 언제까지 분할 납부 신청을 해야 하나요?
상담사,결제일 삼 영업일 전까지 신청해 주시면 됩니다.
고객,아 3일 전까지 신청해야 하는군요?
상담사,제가 30일에 백화점에서 결제한 카드는 제휴카드인데 실적 포함되나요?
고객,아니요.
상담사,분할 납부 신청 건은.
고객,각종 포인트 및 제휴 카드에서 실적 적립에서 제외됩니다.
상담사,아 네 감사합니다.
고객,"네, 행복한 하루 되세요."
상담사,
