Role,Dialogue
고객,금리란 금융에서 이자율을 금리라고 표현합니다.
상담사,그럼 이자율이란 뭔가요?
고객,원금을 빌려주거나 조달하는 대가인 이자를 원금에 대한 비율로 환산한 숫자입니다.
상담사,이자를 왜 지불해야 하는 건가요?
고객,과거에는 금은 같은 희소성이 있는 재화를 거래의 대가로 지불했으나.
상담사,현대 금융 시장에서는 화폐가 이를 대체합니다.
고객,모든 상품의 거래 수단인 화폐는 이자를 통해서 시장 안에서 돌고 돕니다.
상담사,화폐는 돈과 같은 경우인가요?
고객,"네, 맞습니다."
상담사,화폐란 중앙은행이나 정부로부터 대행 업무를 받은 금융기관에서 발행하는 상품의 교환 수단이며 이를 돈이라고 부릅니다.
고객,이자를 통해서 돈다는 뜻이 뭔가요?
상담사,금융시장 안에서 돈이 있는 참가자와 부족한 참가자의 거래가 성립되려면 대가가 필요하고 이는 바로 이자입니다.
고객,모든 거래 상품인 거래 수단에서 돈은 이자를 통해서 흘러들어가고 흘러나온다라고 정리하면 되나요?
상담사,"네, 그렇습니다."
고객,금융시장의 참가자는 누구누구 있나요?
상담사,"정부, 금융기관, 기업 가계 등이 있습니다."
고객,"이자율은 월간인가요, 연간인가요?"
상담사,이자율은 기본적으로 연 단위입니다.
고객,특별한 표기가 없다면 모두 연간입니다.
상담사,이자율은 어떻게 측정하나요?
고객,이자율은 기회비용과 신용위험비용으로 이루어집니다.
상담사,용어가 많이 어렵네요.
고객,다음에 다시 묻겠습니다.
상담사,"네, 알겠습니다."
고객,
