Role,Dialogue
고객,금융사고 신고에 대해 문의 좀 드릴 수 있을까요?
상담사,"네, 금융사고가 발생하셨나요?"
고객,그런 것은 아닙니다.
상담사,다행입니다.
고객,무엇을 도와드릴까요?
상담사,이번에 이 은행에 계좌를 했는데 분실 사고가 발생했을 때 어떻게 해야 할지 미리 알아두려고요.
고객,"네, 잘 전화 주셨습니다."
상담사,만약 금융사고가 발생되면 어떻게 하죠?
고객,은행 은행 영업시간이라면 은행에 방문하여 주시는 게 분실 신고부터 재발급까지 가장 빠르게 처리됩니다.
상담사,"아, 그렇군요."
고객,은행 영업시간이 아닌 경우 ars 로 신고하여 주시면 됩니다.
상담사,인터넷 뱅킹으로는 안 돼요.
고객,인터넷 뱅킹 가입 고객에 한해 인터넷 뱅킹 신고도 가능합니다.
상담사,인터넷 뱅킹 어디에서 신고하나요?
고객,고객센터에 사전 신고해서 주시면 됩니다.
상담사,ARS 나 인터넷 뱅킹은 아무 때나 가능한가요?
고객,네 연중무휴 24시간 가능하며 인터넷 뱅킹은 영업 일자 전환 시간 및 서비스 점검 시간 동안 서비스가 제한될 수 있습니다.
상담사,어떤 걸 분실했을 때 신고해야 하나요?
고객,통장 인감 현금카드 직불카드.
상담사,신용카드 수표 보안카드 OTP 가 있습니다.
고객,알겠습니다.
상담사,안내해 주셔서 감사합니다.
고객,"네, 좋은 하루 되세요."
상담사,
