Role,Dialogue
고객,급여 이체 시 혜택 주는 통장이 있다던데요?
상담사,4000 통장이나 000 통장이 급여 이체 시 혜택을 드립니다.
고객,기존에 000 통장이 있는데 변경 가능한가요?
상담사,통장을 변경하는 건 불가능하고 새로 개설하셔야 합니다.
고객,그렇군요.
상담사,급여이체 조건 같은 게 있나요?
고객,월 오십만원 이상의 급여만 이체되면 됩니다.
상담사,그렇군요.
고객,매달 들어와야 되는 거죠?
상담사,"네, 매달 일 회 이상 급여가 이체 되어야 합니다."
고객,혹시 50만 원이 안 되거나 한번 누락되면 어떻게 되나요?
상담사,급여 이체 혜택이 삼 개월간 중지됩니다.
고객,혜택이 뭔데요?
상담사,은행간 거래시 수수료 면제와 이자율 0.
고객,3% 추가 우대 적용입니다.
상담사,"농협, 우체국 등 다 무료인가요?"
고객,네 이체 수수료는 모두 모두 무료입니다.
상담사,금리는 그럼 우대금리 합해서 얼마가 되는 건데요.
고객,1.
상담사,8%가 됩니다.
고객,급여 이체가 안 되는 경우는 0.
상담사,3 프로가 빠진다는 거죠.
고객,"네, 삼 개월간 우대금리 혜택이 없어집니다."
상담사,알겠습니다.
고객,온라인으로 개설 가능한가요?
상담사,네 가능합니다.
고객,
