Role,Dialogue
고객,긴급하게 질문 하나 드립니다.
상담사,통장을 잃어버린 것 같은데 어떻게 해야 되나요?
고객,골센터나 인터넷 뱅킹 통하여 통장 분실 사고 접수하시면 됩니다.
상담사,제가 계좌번호가 생각이 안 나는데 괜찮을까요?
고객,본인 명의의 통장 맞으신가요?
상담사,"네, 맞습니다."
고객,접수하신 후 본인 확인 진행하시면 됩니다.
상담사,콜센터 전화한 다음에 답변드리면 되는 거죠?
고객,"네, 그렇습니다."
상담사,통장 없이 출급이 될까요?
고객,사전에 인터넷 뱅킹이 신청되어 있으시다면 가능합니다.
상담사,알겠습니다.
고객,분실 신고는 지금 가능한가요?
상담사,평일에는 22시까지 접수 가능합니다.
고객,"네, 알겠습니다."
상담사,상담사 연결해서 설명드리면 되나요?
고객,전화 연결되신 후 삼 번 분실 신고 접수 누르시면 됩니다.
상담사,아 감사합니다.
고객,혹시라도 나중에 통장을 찾게 되면 바로 이용 가능한가요?
상담사,분실 신고 접수 후에는 영업점에서 분실 해제 등록하신 후 가능합니다.
고객,"네, 알겠습니다."
상담사,"네, 기타 문의하실 사항이 있으신가요?"
고객,"아니요, 없습니다."
상담사,
