Role,Dialogue
고객,내 아들이 지금 중학생인데 초등학교 때 해지한 계좌가 있어요.
상담사,제가 그 거래내역을 볼 수 있나요?
고객,계좌가 아드님 계좌라는 말씀이시죠?
상담사,우리 아들 거 맞아요.
고객,아드님은 아직 미성년자시고요.
상담사,"네, 그런데 어차피 그 통장 제가 만들어졌거든요."
고객,예금주의 본인의 부모님이시라면.
상담사,거래 내역 조회 가능하십니다.
고객,그러면 제가 그걸 서면으로 받고 싶어요.
상담사,어떻게 하면 되나요?
고객,서면은 영업점에 가셔야지만이 가능하십니다.
상담사,제 아들이랑 같이 가야 되나요?
고객,아닙니다.
상담사,그러면 제가 준비해야 될 게 있나요?
고객,네 있습니다.
상담사,방문하시는 어머님이나 아버님이 방문하시게 되면.
고객,"아버님 신분증, 가족관계증명서, 기본증명서 각 한 부씩 지참하셔서 가까운 영업점에 들러주시면 됩니다."
상담사,기본 증명서는 제 명의로 해도 되나요?
고객,아닙니다.
상담사,자녀분 계좌라서 자녀분 명의로 하셔야 되고요.
고객,자녀분이 굳이 같이 안 오셔도 됩니다.
상담사,"아, 그렇군요."
고객,우리 아들이 같이 가면 가족관계증명서 안 가지고 가도 되지 않아요.
상담사,아닙니다.
고객,해지계좌 예금주인 아드님이 동행하시더라도 구비서류는 똑같다고 보시면 됩니다.
상담사,그럼 서류는 어차피 다 챙겨야 되는 거네요?
고객,"네, 그렇습니다."
상담사,알겠습니다.
고객,감사합니다.
상담사,
