Role,Dialogue
고객,달러 통장이 있나요?
상담사,외화예금 통장 말씀이시죠?
고객,"네, 그거 맞아요?"
상담사,"네, 달러로 거래하는 외화 통장을 개설하시면 됩니다."
고객,달러 외의 다른 통화도 되나요?
상담사,어느 나라 돈을 말씀이신가요?
고객,인도네시아.
상담사,루피아도 되나요?
고객,죄송하지만 인도네시아 루피아는 불가합니다.
상담사,알겠습니다.
고객,달러 통장도 이자 주나요?
상담사,"네, 연간 이 0."
고객,25% 이자 적용해 드립니다.
상담사,나쁘지 않군요.
고객,어떻게 만들 수 있나요?
상담사,개인 통장이신가요?
고객,"네, 제 이름으로 하려고요."
상담사,신분증만 가지고 가까운 영업점 방문하시면 됩니다.
고객,아 어느 영업점이나 외화 통장 개설은 다 되는 거예요?
상담사,"네, 그렇습니다."
고객,통장 개설할 때 달러가 있어야 되나요?
상담사,4 달러 일 달러 이상 납입하시면서 개설하실 수 있습니다.
고객,그렇군요.
상담사,이걸로 달러 돈 그대로 외화 송금도 가능하지요.
고객,"네, 1만 불 이하라면 별도 서류 없이 가능합니다."
상담사,
