Role,Dialogue
고객,담보대출에 대해 문의해도 되나요?
상담사,어떤 담보로 대출을 받으실 예정인가요?
고객,산을 담보로 하려고요.
상담사,임야를 담보로 대출이 가능합니다.
고객,한도를 알려주실 수 있나요?
상담사,부동산은 감정가에 따라 한도가 달라집니다.
고객,감정가를 알고 계신가요?
상담사,감정가를 알려주실 수 있나요?
고객,국토부에서 조회하여 알려드리겠습니다.
상담사,한도는 얼마나 되죠?
고객,일반적으로 70%에서 80 퍼센트입니다.
상담사,금리는 어떻게 되나요?
고객,연 2.
상담사,5%에서 3.
고객,5 퍼센트입니다.
상담사,대출 실행은 어떻게 하면 되나요?
고객,필요한 서류를 가지고 지점에 방문해 주시기 바랍니다.
상담사,필요한 서류는 어떤 건가요?
고객,보유하고 계신 토지의 등기부등본과 본인 확인을 위한 주민등록등본 신분증을 가지고 오시면 됩니다.
상담사,공동명의일 경우도 될까요?
고객,지점 방문하실 때 공동명의자분과 함께 방문하셔야 하며 공동명의자분도 동일한 서류를 가지고 오셔야 합니다.
상담사,대출기간을 선택할 수 있나요?
고객,토지 담보 대출은 1년 만기로 매년 갱신이 가능합니다.
상담사,
