Role,Dialogue
고객,대출 문의드립니다.
상담사,"네, 어떤 문의사항이신가요?"
고객,전세자금 대출의 신청 가능 시기는 언제입니까?
상담사,상황에 따라 다릅니다.
고객,입주하셨나요?
상담사,"네, 계약서상 입주일과 주민등록등본상 전입일 중 선 일자로부터 삼 개월 이내에 가능하십니다."
고객,입주 전이면요.
상담사,입주 전 대출은 대출 취급일 이후 일 개월 이내에 입주하셔야 합니다.
고객,만약 계약 갱신 시는 어떻게 달라지나요?
상담사,주민등록 전입일로부터 삼 개월 이상 경과 후 갱신 계약일로부터 삼 개월 이내 가능하십니다.
고객,현재 타행 전세 대출을 받고 있는데 이사를 하면서 추가로 전세 대출을 받고 싶은데 가능한가요?
상담사,타행에서 전세자금 대출을 받고 있는 경우 추가 대출은 불가능합니다.
고객,그럼 방법이 없나요?
상담사,저희 은행에서 대출을 받고자 하는 경우 신규 대출로 받으실 수 있습니다.
고객,신규 대출이면 기존 타행 대출을 전액 상환한 후라는 말인가요?
상담사,"네, 그렇습니다."
고객,그럼 타 은행과 대출금 상한 후.
상담사,신규 대출로 받게 되면 자격 조건은 어떻게 되나요?
고객,타 은행과 자격 조건은 달라지실 수 있습니다.
상담사,"네, 잘 알겠습니다."
고객,
