Role,Dialogue
고객,대출 문의합니다.
상담사,대출이요?
고객,네 대출 서비스 도와드리겠습니다.
상담사,담보대출과 신용대출이 있는데 어떤 것으로 받고 싶으신가요?
고객,주택담보대출도 됩니까?
상담사,주택담보대출은 공시가의 70%까지 가능합니다.
고객,공시가가 뭡니까?
상담사,금융에서 주택의 여러 가지를 고려해 책정된 가격을 말합니다.
고객,"네, 실거래가는 실제 거래되는 가격으로 공시가와 많은 차이가 날 수 있습니다."
상담사,주택은 땅도 넓은데 아파트보다 공시가를 많이 받을 수 있는 거죠.
고객,매물에 따라 다르기 때문에 한국주택금융공사 홈페이지에 들어가셔서.
상담사,확인하시는 것이 좋습니다.
고객,그건 그렇고 담보 대출받을 때 준비할 서류는 뭔가요?
상담사,"신분증 등본 인감증명서, 주택매매계약서 등기부등본이 있으면 됩니다."
고객,누가 준비하면 돼요?
상담사,매물의 소유주가 직접 준비해 주시면 됩니다.
고객,계약할 때 챙겨가면 되는 거죠.
상담사,그렇지 않습니다.
고객,대출을 받기 위해 금융기관을 찾으실 때 챙겨 주셔야 합니다.
상담사,그럼 매매 계약서 쓸 때는 그냥 가도 된다는 거네요?
고객,"네, 그렇습니다."
상담사,다른 서류들은 저희 직원이 매매 계약할 때 챙겨갑니다.
고객,"네, 알겠습니다."
상담사,
