Role,Dialogue
고객,대출 원리금 조기상환이 가능한가요?
상담사,"네, 가능합니다."
고객,어떻게 하나요?
상담사,알려주세요.
고객,모바일 앱에 대출 원리금 상환 메뉴를 통해 가능합니다.
상담사,아 거기 가상 계좌에 입금하면 되는 건가요?
고객,"네, 맞습니다."
상담사,원리금 중도상환 수수료가 있나요?
고객,"아니요, 없습니다."
상담사,혹시 상담원한테 물어볼 수 있을까요?
고객,4000 번으로 연락하셔서 상담원과 통화하실 수 있습니다.
상담사,"네, 혹시 원리금 중도상환 이후 다음달부터 얼마씩 상환해야 하나 계산할 수 있나요?"
고객,네 고객님 대출금을 상환 중이신 계좌번호가 어떻게 되시나요?
상담사,공공공공공공공공공입니다.
고객,"네, 고객님."
상담사,현재 대출 원리금은 공공공공공원입니다.
고객,얼마를 상환하실 예정이신가요?
상담사,공공공공공공공공입니다.
고객,네 고객님 그러면 다음 달부터 매달 0000 원씩 상환하시면 됩니다.
상담사,혹시 조기상환하면 신용등급에 영향 있을까요?
고객,아니요.
상담사,신용등급에는 영향이 없습니다.
고객,"네, 알겠습니다."
상담사,"네, 고맙습니다."
고객,
