Role,Dialogue
고객,대출 좀 알아볼까 하는데요.
상담사,안녕하십니까?
고객,무슨 대출 말씀하십니까?
상담사,제가 종로에서 조그맣게 가게를 하나 하고 있거든요.
고객,"네, 말씀하세요."
상담사,그런데 지금 코로나잖아요.
고객,너무 힘들어서 대출 좀 어떻게 안 될까 하고요.
상담사,대출 대상이 되는지?
고객,확인해 보겠습니다.
상담사,네네 알아봐주세요.
고객,너무 힘들어요.
상담사,고객님 알아봤는데요.
고객,작년 12월에 이미 대출을 받으신 게 있으셔서 그거 아직 상환도 다 못했거든요.
상담사,그러니까 내가 가능한지 물어보잖아요.
고객,작년 12월에 했어도.
상담사,그때는 오래 보고 대출한 건데 대출하신지 일 년도 안 되셔서 지금은 좀 어렵겠는데요.
고객,그게 코로나 전이잖아요.
상담사,그거 터지고 지금 상권이 다 죽어서 상인들 다 죽게 생겼는데 저희도 어쩔 수 없습니다.
고객,저도 해드리고 싶지만.
상담사,조건이 그렇기 때문에 어쩔 수 없습니다.
고객,나라에서 자영업자 특별 대출 어쩌고 하던데 그것도 안돼요.
상담사,자영업자 특별대출은 유선상으로 저희가 된다.
고객,안된다 말하기는 어렵고 그게 또 조건이 있어서 조건이 맞는지 확인을 해보셔야 합니다.
상담사,그 조건이라는 게 뭔데요?
고객,조건만 설명해 드리는 거라 개개인에 따라 또한 대출 환경이 다르다는 점 인지하시고요.
상담사,안 그래도 장사 안돼서 열받는데 그냥 시원하게 좀 어 얘기해 봐요.
고객,죄송합니다.
상담사,먼저 연 소득 600만 원 이하셔야 되고요.
고객,연체도 없으셔야 하고요.
상담사,사업자 사 개월 이상 유지하셔야 됩니다.
고객,그 조건만 맞으면 돼요.
상담사,"조건이 맞더라도 상황에 따라 될 수도, 안 될 수도 있습니다."
고객,자세한 사항은 영업점 방문하시기 바랍니다.
상담사,
