Role,Dialogue
고객,돌아가신 분 창고 내역 볼 수 있나요?
상담사,어느 분 거 말씀하시는 건가요?
고객,저희 아버지신데요.
상담사,돌아가신 분과의 관계는 어떻게 되십니까?
고객,부녀 관계예요.
상담사,아버지 성함과 주민등록번호를 말씀해 주시겠습니까?
고객,우리 아버지 한자가 000 되시고요.
상담사,주민등록번호는 공공공공공공에.
고객,공공공공공공공인데요.
상담사,확인 좀 해주세요.
고객,확인되셨습니다.
상담사,따님 성함은 어떻게 되십니까?
고객,제 이름은 공공공이고요.
상담사,제가 공 공 년생이거든요.
고객,확인되셨습니다.
상담사,은행 계좌 잔고 내역만 확인하시는 건가요?
고객,그거 말고도 뭐 되나요?
상담사,예금대출 보증 증권계좌.
고객,보험계약 신용카드 및 가계 당좌 거래 유무 등을 알 수 있으신데 필요한 부분 말씀해 주시겠습니까?
상담사,전부 다 확인되죠?
고객,가능하십니다.
상담사,전부 다 해주시고요.
고객,제가 준비해야 될 서류 있나요?
상담사,서류가 몇 가지 되는데요.
고객,호적등본에 사망사실이 게재되어 있으십니까?
상담사,네 호적 처리 다 해서 삼 항으로 되어 있어요.
고객,고인분 어떻게 돌아가셨나요?
상담사,병원에서 지병으로 돌아가셨어요.
고객,그러시면 피상속인의 재적등본 및 신청인의 신분증만 가지고 오시면 될 것 같습니다.
상담사,
