Role,Dialogue
고객,디딤돌 대출로 얼마를 대출할 수 있나요?
상담사,얼마를 대출하시려고 하시나요?
고객,일억이요?
상담사,연 소득이 얼마이신가요?
고객,연봉은 오천팔백만 원입니다.
상담사,생애 최초 주택 구매나 신혼가구에 포함되시나요?
고객,주택은 구매한 적이 있고 결혼한 지 7년 되었는데 적용이 될까요?
상담사,신혼가구는 적용이 되시네요.
고객,미성년자 자녀는 몇 명인가요?
상담사,두 명입니다.
고객,거치기간은 일년까지 적용하실 수 있습니다.
상담사,거치기간을 일년으로 하시겠습니까?
고객,거치기간이 무엇인가요?
상담사,원금 상환이 없이 이자만 납부하는 기간으로 거치기간 동안 원금 상환의 부담을 줄일 수 있습니다.
고객,"네, 거치기간 적용해 주세요."
상담사,상환은 어떻게 하실 건가요?
고객,어떤 방법이 있나요?
상담사,"원리금 균등분할상환 체감식, 분할상환 체증식 분할상환이 있습니다."
고객,초기에 적은 금액을 내고 싶습니다.
상담사,그러면 체증식 분할 상환 방식을 선택하여야 합니다.
고객,다만 40세 미만의 근로자이고 고정금리를 선택하여야만 가능합니다.
상담사,
