Role,Dialogue
고객,"마이너스 통장을 개설하고 싶은데요, 당행에 거래하고 계신가요?"
상담사,"네, 월급 통장이 있습니다."
고객,당행은 주 거래 은행으로 거래하시는군요.
상담사,좋은 조건으로 대출이 가능할 것 같습니다.
고객,직장인이신가요?
상담사,"네, 현 회사에서 얼마나 근무하셨나요?"
고객,공 년 되었어요.
상담사,연 소득은 어느 정도 되십니까?
고객,공 천 공 100만 원 정도입니다.
상담사,얼마까지 마이너스 통장을 개설할 수 있나요?
고객,공 천만 원까지 마이너스 통장 개설이 가능하십니다.
상담사,금리는 어떻게 되나요?
고객,금리는 영 0.
상담사,00%까지 가능할 것 같습니다.
고객,비대면 신청이 가능한가요?
상담사,가까운 영업점에 방문하여 상담 후 신청 가능합니다.
고객,준비해야 할 서류는 어떻게 되죠?
상담사,"신분증 재직증명서, 원천징수 영수증 또는 소득증명원 주민등록등본 등이 필요합니다."
고객,가까운 영업점이 어디인가요?
상담사,100m 이내에 000 지점이 있습니다.
고객,
