Role,Dialogue
고객,몇 년 전에 공 공 증권 펀드에 가입한 기억이 있는데요.
상담사,거래를 하다가 중간에 안 했거든요.
고객,거래내역 확인을 좀 하고 싶은데요.
상담사,저희 증권 펀드에 가입하신 이력이 있으시면 인터넷에 저희 증권 홈페이지에 들어가시면 확인 가능하십니다.
고객,"네, 그래서 인터넷으로 확인하려니까 확인이 안돼요."
상담사,오래전에 사용하시고 사용을 안 하셨으면 휴면 계좌일 가능성이 높습니다.
고객,그래서 제가 홈페이지에서 휴먼 계좌로도 봤거든요.
상담사,그런데 휴먼 계좌에도 없어요.
고객,거래한 정확한 날짜를 알 수 있을까요?
상담사,정확한 날짜까지는 모르겠고요.
고객,대충 2012 년도인 것 같아요.
상담사,2012년 몇월인지 알 수 있나요?
고객,음 잘 모르겠어요.
상담사,확인 결과 2012년 팔월에 저희 증권회사 펀드에 가입하신 거 맞고요.
고객,거래내역은 휴면 계좌라서 표기가 안 된 것 같습니다.
상담사,휴먼 계좌라도 거래 내역 표기는 해줘야 되지 않나요?
고객,죄송합니다만 그건 저희 시스템 상의 문제라서요.
상담사,어쩔 수 없습니다.
고객,거래 내역 표기가 안 되면 내가 펀드에 가입을 했었는지 안 했는지 알 수가 없잖아요.
상담사,거래 내역 표기는 먼저 휴면 계좌 설정에 해지하시면 바로 보입니다.
고객,휴먼 계좌 설정 해지는 어떻게 하나요?
상담사,신분증 지참하시고 가까운 영업점에 방문하시면 됩니다.
고객,제가 펀드 거래한 내역은 프린트해서 받아볼 수 있나요?
상담사,받아 보실 수 있습니다.
고객,수수료는 얼마예요?
상담사,한 매당 50원입니다.
고객,
