Role,Dialogue
고객,목돈 모으는 데 도움이 되는 상품이 있을까요?
상담사,물론입니다.
고객,대부분 적금을 가입하십니다.
상담사,네.
고객,하지만 투자 상품은 원금 손실의 가능성이 있으니 유의하셔야 합니다.
상담사,적금은 매달 입금하는 상품인가요?
고객,매월 정액 적립식과 자유 적립식 상품이 모두 있습니다.
상담사,적립식은 정해진 금액을 납부하는 건가요?
고객,"네, 지정한 금액을 지정한 날짜에 정기적으로 납부하시는 겁니다."
상담사,기간도 상품마다 다른가요?
고객,네 부담이 덜한 일 년짜리부터 좀 더 이율이 좋은 5년 이상 장기 상품도 있습니다.
상담사,적금은 만기가 되면 돈을 받든 받는 거지요.
고객,맞습니다.
상담사,이자와 원금을 함께 수령하시게 됩니다.
고객,적금의 경우는 중도인출은 불가합니다.
상담사,납부하다가 중간에 돈을 못 내게 되면 불이익이 있나요?
고객,약정이자를 보장받지 못하게 될 수도 있습니다.
상담사,그 경우 원금에도 손실이 있을 수 있어서 가입 전 충분히 생각을 해보셔야 합니다.
고객,"네, 감사합니다."
상담사,
