Role,Dialogue
고객,무직자 대출이라는 것도 있던데요?
상담사,무직자 대출에 대해 알아보셨습니까?
고객,자세히는 몰라요.
상담사,일반적으로 직장이 없으면 대출이 힘들지 않나요?
고객,그렇죠.
상담사,그럴 경우 저희가 신용등급과 몇 가지 조건으로 대출을 해드리고 있습니다.
고객,직장이 없어도 대출이 된다고 그래서 알아보려고 연락해 봤습니다.
상담사,신용등급이 어느 정도 되어야 대출이 가능한가요?
고객,많이 높지는 않습니다 칠 등급입니다.
상담사,그렇게 낮아도 대출이 되나요?
고객,가능하고요.
상담사,그 외에 조건이 맞아야 합니다.
고객,그 왜 조건이라니요?
상담사,고객님께선 기존의 대출을 받으신 게 있으십니까?
고객,있기는 한데 얼마 안돼요?
상담사,2000 정도요.
고객,그 정도면 가능하고요.
상담사,혹시 최근에 대출이자나 신용카드 연체 있으셨습니까?
고객,저는 연체 같은 건 안 해요.
상담사,기본적인 조건은 괜찮으시고요.
고객,여기에 심사를 더 들어봐야 정확한 결과가 나옵니다.
상담사,일단 조건은 괜찮다는 거죠.
고객,그렇습니다.
상담사,저희 가까운 영업점 내방하셔서 서류 작성하시고 대출 심사 받으시면 됩니다.
고객,여기 광화문인데 가까운 영업점 안내 좀 해주세요.
상담사,가까운 영업점은 경복궁역 이번 출구 바로 앞에 있습니다.
고객,
